Event,Fight,Fighter,KD,TotStr,TD,TdPct,SubAtt,Rev,CtrlTime,SigStr,SigStrPct,Head,Body,Leg,Distance,Clinch,Ground
UFC Fight Night: Sandhagen vs. Font,Dustin Jacoby vs. Kennedy Nzechukwu,Dustin Jacoby,1,10 of 33,0 of 0,---,0,0,0:04,10 of 33,30%,5 of 28,0 of 0,5 of 5,10 of 26,0 of 0,0 of 7
UFC Fight Night: Sandhagen vs. Font,Dustin Jacoby vs. Kennedy Nzechukwu,Kennedy Nzechukwu,0,4 of 18,0 of 0,---,0,0,0:00,4 of 18,22%,3 of 14,0 of 3,1 of 1,4 of 18,0 of 0,0 of 0
UFC Fight Night: Sandhagen vs. Font,Diego Lopes vs. Gavin Tucker,Diego Lopes,0,0 of 4,0 of 0,---,3,0,0:00,0 of 4,0%,0 of 3,0 of 0,0 of 1,0 of 4,0 of 0,0 of 0
UFC Fight Night: Sandhagen vs. Font,Diego Lopes vs. Gavin Tucker,Gavin Tucker,0,0 of 6,1 of 1,100%,0,0,0:39,0 of 6,0%,0 of 6,0 of 0,0 of 0,0 of 6,0 of 0,0 of 0
UFC Fight Night: Sandhagen vs. Font,Tanner Boser vs. Aleksa Camur,Tanner Boser,0,145 of 253,0 of 0,---,0,0,5:27,120 of 215,55%,78 of 163,24 of 32,18 of 20,87 of 174,33 of 41,0 of 0
UFC Fight Night: Sandhagen vs. Font,Tanner Boser vs. Aleksa Camur,Aleksa Camur,0,105 of 175,0 of 1,0%,0,0,1:01,68 of 136,50%,34 of 97,25 of 28,9 of 11,46 of 108,22 of 28,0 of 0
UFC Fight Night: Sandhagen vs. Font,Ignacio Bahamondes vs. Ludovit Klein,Ignacio Bahamondes,0,62 of 166,0 of 1,0%,0,0,0:07,43 of 139,30%,29 of 114,9 of 16,5 of 9,41 of 133,2 of 6,0 of 0
UFC Fight Night: Sandhagen vs. Font,Ignacio Bahamondes vs. Ludovit Klein,Ludovit Klein,0,94 of 151,3 of 5,60%,0,0,6:05,56 of 108,51%,36 of 82,11 of 16,9 of 10,43 of 88,1 of 1,12 of 19
UFC Fight Night: Sandhagen vs. Font,Kyler Phillips vs. Raoni Barcelos,Kyler Phillips,1,80 of 196,1 of 4,25%,0,0,0:47,72 of 187,38%,40 of 146,18 of 26,14 of 15,62 of 174,6 of 8,4 of 5
UFC Fight Night: Sandhagen vs. Font,Kyler Phillips vs. Raoni Barcelos,Raoni Barcelos,0,52 of 124,3 of 11,27%,0,0,1:42,46 of 116,39%,20 of 87,15 of 17,11 of 12,39 of 105,7 of 10,0 of 1
UFC Fight Night: Sandhagen vs. Font,Jeremiah Wells vs. Carlston Harris,Jeremiah Wells,0,41 of 78,3 of 5,60%,2,0,9:26,18 of 48,37%,16 of 46,2 of 2,0 of 0,5 of 25,2 of 3,11 of 20
UFC Fight Night: Sandhagen vs. Font,Jeremiah Wells vs. Carlston Harris,Carlston Harris,0,19 of 36,0 of 1,0%,1,0,0:13,5 of 19,26%,1 of 14,3 of 4,1 of 1,5 of 19,0 of 0,0 of 0
UFC Fight Night: Sandhagen vs. Font,Billy Quarantillo vs. Damon Jackson,Billy Quarantillo,0,169 of 270,0 of 0,---,1,0,1:51,100 of 188,53%,45 of 124,49 of 57,6 of 7,58 of 140,42 of 48,0 of 0
UFC Fight Night: Sandhagen vs. Font,Billy Quarantillo vs. Damon Jackson,Damon Jackson,0,75 of 184,3 of 13,23%,0,0,6:10,67 of 173,38%,45 of 139,19 of 31,3 of 3,53 of 148,10 of 15,4 of 10
UFC Fight Night: Sandhagen vs. Font,Cody Durden vs. Jake Hadley,Cody Durden,0,63 of 122,4 of 6,66%,1,0,7:25,38 of 85,44%,23 of 66,9 of 11,6 of 8,30 of 67,1 of 1,7 of 17
UFC Fight Night: Sandhagen vs. Font,Cody Durden vs. Jake Hadley,Jake Hadley,0,45 of 106,0 of 3,0%,3,1,2:04,26 of 83,31%,12 of 61,10 of 16,4 of 6,23 of 76,3 of 7,0 of 0
UFC Fight Night: Sandhagen vs. Font,Sean Woodson vs. Dennis Buzukja,Sean Woodson,0,163 of 229,4 of 5,80%,0,0,5:52,71 of 126,56%,36 of 77,18 of 32,17 of 17,61 of 113,8 of 11,2 of 2
UFC Fight Night: Sandhagen vs. Font,Sean Woodson vs. Dennis Buzukja,Dennis Buzukja,0,46 of 121,0 of 1,0%,0,1,2:30,42 of 116,36%,24 of 85,11 of 17,7 of 14,32 of 96,5 of 8,5 of 12
UFC 291: Poirier vs. Gaethje 2,Dustin Poirier vs. Justin Gaethje,Dustin Poirier,0,27 of 52,0 of 0,---,0,0,0:00,27 of 52,51%,21 of 46,4 of 4,2 of 2,25 of 49,2 of 3,0 of 0
UFC 291: Poirier vs. Gaethje 2,Dustin Poirier vs. Justin Gaethje,Justin Gaethje,1,41 of 66,0 of 0,---,0,0,0:00,41 of 66,62%,23 of 48,7 of 7,11 of 11,38 of 63,2 of 2,1 of 1
UFC 291: Poirier vs. Gaethje 2,Jan Blachowicz vs. Alex Pereira,Jan Blachowicz,0,82 of 117,3 of 8,37%,2,0,7:32,52 of 81,64%,41 of 66,4 of 8,7 of 7,41 of 67,3 of 5,8 of 9
UFC 291: Poirier vs. Gaethje 2,Jan Blachowicz vs. Alex Pereira,Alex Pereira,0,112 of 138,0 of 0,---,1,0,0:06,70 of 92,76%,26 of 46,23 of 24,21 of 22,62 of 83,7 of 8,1 of 1
UFC 291: Poirier vs. Gaethje 2,Derrick Lewis vs. Marcos Rogerio de Lima,Derrick Lewis,1,20 of 36,0 of 0,---,0,0,0:29,17 of 33,51%,16 of 32,1 of 1,0 of 0,1 of 1,0 of 0,16 of 32
UFC 291: Poirier vs. Gaethje 2,Derrick Lewis vs. Marcos Rogerio de Lima,Marcos Rogerio de Lima,0,2 of 2,0 of 0,---,0,0,0:00,1 of 1,100%,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1
UFC 291: Poirier vs. Gaethje 2,Tony Ferguson vs. Bobby Green,Tony Ferguson,0,62 of 138,0 of 3,0%,0,0,0:13,54 of 123,43%,38 of 98,11 of 18,5 of 7,50 of 118,2 of 2,2 of 3
UFC 291: Poirier vs. Gaethje 2,Tony Ferguson vs. Bobby Green,Bobby Green,0,145 of 227,0 of 0,---,1,0,3:25,137 of 217,63%,95 of 166,24 of 31,18 of 20,115 of 183,1 of 1,21 of 33
UFC 291: Poirier vs. Gaethje 2,Michael Chiesa vs. Kevin Holland,Michael Chiesa,0,6 of 13,0 of 5,0%,0,0,0:15,4 of 11,36%,4 of 11,0 of 0,0 of 0,3 of 7,1 of 4,0 of 0
UFC 291: Poirier vs. Gaethje 2,Michael Chiesa vs. Kevin Holland,Kevin Holland,0,12 of 19,0 of 0,---,1,0,0:40,9 of 16,56%,7 of 14,2 of 2,0 of 0,4 of 9,4 of 5,1 of 2
UFC 291: Poirier vs. Gaethje 2,Gabriel Bonfim vs. Trevin Giles,Gabriel Bonfim,0,3 of 11,1 of 1,100%,1,0,0:26,3 of 11,27%,2 of 10,1 of 1,0 of 0,3 of 11,0 of 0,0 of 0
UFC 291: Poirier vs. Gaethje 2,Gabriel Bonfim vs. Trevin Giles,Trevin Giles,0,1 of 5,0 of 0,---,0,0,0:14,1 of 5,20%,1 of 5,0 of 0,0 of 0,1 of 5,0 of 0,0 of 0
UFC 291: Poirier vs. Gaethje 2,CJ Vergara vs. Vinicius Salvador,CJ Vergara,0,109 of 181,0 of 0,---,0,0,0:00,109 of 181,60%,43 of 102,45 of 57,21 of 22,104 of 176,5 of 5,0 of 0
UFC 291: Poirier vs. Gaethje 2,CJ Vergara vs. Vinicius Salvador,Vinicius Salvador,0,89 of 196,0 of 2,0%,0,0,0:01,88 of 195,45%,54 of 154,19 of 25,15 of 16,87 of 194,1 of 1,0 of 0
UFC 291: Poirier vs. Gaethje 2,Roman Kopylov vs. Claudio Ribeiro,Roman Kopylov,1,32 of 42,0 of 0,---,0,0,0:03,32 of 42,76%,20 of 29,9 of 10,3 of 3,29 of 38,2 of 3,1 of 1
UFC 291: Poirier vs. Gaethje 2,Roman Kopylov vs. Claudio Ribeiro,Claudio Ribeiro,0,33 of 60,0 of 1,0%,0,0,0:16,32 of 59,54%,18 of 45,7 of 7,7 of 7,29 of 56,3 of 3,0 of 0
UFC 291: Poirier vs. Gaethje 2,Jake Matthews vs. Darrius Flowers,Jake Matthews,0,71 of 113,0 of 1,0%,1,0,1:15,60 of 101,59%,40 of 78,14 of 17,6 of 6,47 of 84,2 of 5,11 of 12
UFC 291: Poirier vs. Gaethje 2,Jake Matthews vs. Darrius Flowers,Darrius Flowers,0,41 of 69,1 of 3,33%,0,0,1:03,36 of 64,56%,21 of 48,6 of 6,9 of 10,31 of 57,5 of 7,0 of 0
UFC 291: Poirier vs. Gaethje 2,Matthew Semelsberger vs. Uros Medic,Matthew Semelsberger,1,53 of 121,0 of 2,0%,0,0,1:13,52 of 120,43%,31 of 91,8 of 14,13 of 15,42 of 106,3 of 5,7 of 9
UFC 291: Poirier vs. Gaethje 2,Matthew Semelsberger vs. Uros Medic,Uros Medic,1,76 of 135,1 of 1,100%,0,0,0:22,69 of 128,53%,49 of 98,17 of 27,3 of 3,50 of 104,13 of 18,6 of 6
UFC 291: Poirier vs. Gaethje 2,Miranda Maverick vs. Priscila Cachoeira,Miranda Maverick,0,105 of 132,3 of 9,33%,1,0,8:54,36 of 51,70%,23 of 37,8 of 8,5 of 6,16 of 29,2 of 2,18 of 20
UFC 291: Poirier vs. Gaethje 2,Miranda Maverick vs. Priscila Cachoeira,Priscila Cachoeira,0,13 of 26,0 of 0,---,0,0,0:00,11 of 23,47%,7 of 18,2 of 3,2 of 2,10 of 22,0 of 0,1 of 1
UFC Fight Night: Aspinall vs. Tybura,Tom Aspinall vs. Marcin Tybura,Tom Aspinall,1,13 of 18,0 of 0,---,0,0,0:05,13 of 18,72%,12 of 17,1 of 1,0 of 0,7 of 10,0 of 0,6 of 8
UFC Fight Night: Aspinall vs. Tybura,Tom Aspinall vs. Marcin Tybura,Marcin Tybura,0,4 of 15,0 of 0,---,0,0,0:00,4 of 15,26%,2 of 13,2 of 2,0 of 0,4 of 15,0 of 0,0 of 0
UFC Fight Night: Aspinall vs. Tybura,Molly McCann vs. Julija Stoliarenko,Molly McCann,0,6 of 16,0 of 0,---,0,0,0:07,6 of 16,37%,1 of 11,4 of 4,1 of 1,6 of 16,0 of 0,0 of 0
UFC Fight Night: Aspinall vs. Tybura,Molly McCann vs. Julija Stoliarenko,Julija Stoliarenko,0,9 of 29,1 of 1,100%,1,0,0:19,9 of 29,31%,4 of 20,2 of 3,3 of 6,9 of 29,0 of 0,0 of 0
UFC Fight Night: Aspinall vs. Tybura,Nathaniel Wood vs. Andre Fili,Nathaniel Wood,1,108 of 174,1 of 2,50%,0,0,1:47,84 of 148,56%,38 of 90,10 of 18,36 of 40,71 of 123,0 of 0,13 of 25
UFC Fight Night: Aspinall vs. Tybura,Nathaniel Wood vs. Andre Fili,Andre Fili,1,76 of 179,0 of 2,0%,0,1,2:55,58 of 151,38%,45 of 134,7 of 10,6 of 7,53 of 144,3 of 5,2 of 2
UFC Fight Night: Aspinall vs. Tybura,Paul Craig vs. Andre Muniz,Paul Craig,0,54 of 101,2 of 2,100%,1,0,2:56,40 of 82,48%,31 of 66,8 of 15,1 of 1,10 of 32,0 of 0,30 of 50
UFC Fight Night: Aspinall vs. Tybura,Paul Craig vs. Andre Muniz,Andre Muniz,0,31 of 47,2 of 2,100%,0,0,1:47,24 of 40,60%,15 of 30,2 of 3,7 of 7,15 of 27,1 of 1,8 of 12
UFC Fight Night: Aspinall vs. Tybura,Jai Herbert vs. Fares Ziam,Jai Herbert,0,58 of 150,0 of 6,0%,0,0,4:12,49 of 134,36%,7 of 79,23 of 31,19 of 24,38 of 119,11 of 15,0 of 0
UFC Fight Night: Aspinall vs. Tybura,Jai Herbert vs. Fares Ziam,Fares Ziam,0,96 of 153,1 of 5,20%,0,0,1:30,61 of 113,53%,29 of 74,19 of 23,13 of 16,45 of 93,16 of 20,0 of 0
UFC Fight Night: Aspinall vs. Tybura,Lerone Murphy vs. Josh Culibao,Lerone Murphy,1,87 of 144,3 of 5,60%,2,0,7:38,59 of 109,54%,37 of 81,15 of 18,7 of 10,24 of 61,12 of 14,23 of 34
UFC Fight Night: Aspinall vs. Tybura,Lerone Murphy vs. Josh Culibao,Josh Culibao,0,40 of 77,0 of 2,0%,0,0,1:30,23 of 59,38%,16 of 48,5 of 6,2 of 5,19 of 53,4 of 6,0 of 0
UFC Fight Night: Aspinall vs. Tybura,Davey Grant vs. Daniel Marcos,Davey Grant,0,70 of 215,0 of 1,0%,0,0,0:06,70 of 215,32%,17 of 127,27 of 55,26 of 33,70 of 213,0 of 2,0 of 0
UFC Fight Night: Aspinall vs. Tybura,Davey Grant vs. Daniel Marcos,Daniel Marcos,0,49 of 141,1 of 1,100%,0,0,0:13,48 of 140,34%,21 of 90,6 of 24,21 of 26,47 of 139,1 of 1,0 of 0
UFC Fight Night: Aspinall vs. Tybura,Danny Roberts vs. Jonny Parsons,Danny Roberts,0,44 of 134,0 of 2,0%,0,0,0:05,44 of 133,33%,27 of 111,14 of 19,3 of 3,44 of 132,0 of 1,0 of 0
UFC Fight Night: Aspinall vs. Tybura,Danny Roberts vs. Jonny Parsons,Jonny Parsons,2,69 of 133,0 of 0,---,0,0,1:26,63 of 124,50%,42 of 95,12 of 19,9 of 10,51 of 101,7 of 15,5 of 8
UFC Fight Night: Aspinall vs. Tybura,Marc Diakiese vs. Joel Alvarez,Marc Diakiese,0,29 of 60,2 of 3,66%,0,0,3:09,20 of 46,43%,8 of 25,6 of 11,6 of 10,20 of 46,0 of 0,0 of 0
UFC Fight Night: Aspinall vs. Tybura,Marc Diakiese vs. Joel Alvarez,Joel Alvarez,0,64 of 98,0 of 1,0%,1,0,1:26,42 of 75,56%,20 of 49,12 of 16,10 of 10,37 of 70,2 of 2,3 of 3
UFC Fight Night: Aspinall vs. Tybura,Mick Parkin vs. Jamal Pogues,Mick Parkin,0,98 of 159,0 of 0,---,0,0,0:00,95 of 156,60%,37 of 94,16 of 20,42 of 42,92 of 151,3 of 5,0 of 0
UFC Fight Night: Aspinall vs. Tybura,Mick Parkin vs. Jamal Pogues,Jamal Pogues,0,37 of 136,0 of 1,0%,0,0,1:17,36 of 135,26%,22 of 119,4 of 6,10 of 10,34 of 132,2 of 3,0 of 0
UFC Fight Night: Aspinall vs. Tybura,Makhmud Muradov vs. Bryan Barberena,Makhmud Muradov,2,68 of 114,13 of 16,81%,0,0,5:10,54 of 97,55%,39 of 77,15 of 20,0 of 0,46 of 79,5 of 11,3 of 7
UFC Fight Night: Aspinall vs. Tybura,Makhmud Muradov vs. Bryan Barberena,Bryan Barberena,0,81 of 138,0 of 1,0%,0,0,0:02,28 of 81,34%,13 of 56,2 of 4,13 of 21,27 of 79,1 of 2,0 of 0
