Event,Fight,Fighter,KD,TotStr,TD,TdPct,SubAtt,Rev,CtrlTime,SigStr,SigStrPct,Head,Body,Leg,Distance,Clinch,Ground
UFC Fight Night: Gane vs. Spivac,Benoit Saint Denis vs. Thiago Moises,Benoit Saint Denis,0,123 of 210,5 of 9,55%,0,0,5:20,101 of 182,55%,49 of 123,28 of 34,24 of 25,42 of 71,10 of 14,49 of 97
UFC Fight Night: Gane vs. Spivac,Benoit Saint Denis vs. Thiago Moises,Thiago Moises,0,27 of 67,1 of 3,33%,1,0,0:14,24 of 62,38%,12 of 46,10 of 14,2 of 2,23 of 59,1 of 3,0 of 0
UFC Fight Night: Gane vs. Spivac,Volkan Oezdemir vs. Bogdan Guskov,Volkan Oezdemir,1,36 of 64,1 of 1,100%,1,0,1:23,26 of 46,56%,19 of 37,1 of 2,6 of 7,15 of 32,1 of 1,10 of 13
UFC Fight Night: Gane vs. Spivac,Volkan Oezdemir vs. Bogdan Guskov,Bogdan Guskov,0,10 of 27,0 of 0,---,0,0,0:00,8 of 25,32%,7 of 23,1 of 1,0 of 1,8 of 24,0 of 1,0 of 0
UFC Fight Night: Gane vs. Spivac,William Gomis vs. Yanis Ghemmouri,William Gomis,0,61 of 99,0 of 0,---,2,0,0:55,52 of 88,59%,10 of 30,6 of 15,36 of 43,47 of 82,5 of 6,0 of 0
UFC Fight Night: Gane vs. Spivac,William Gomis vs. Yanis Ghemmouri,Yanis Ghemmouri,0,40 of 88,0 of 4,0%,0,0,2:42,28 of 73,38%,0 of 24,7 of 11,21 of 38,24 of 69,4 of 4,0 of 0
UFC Fight Night: Gane vs. Spivac,Morgan Charriere vs. Manolo Zecchini,Morgan Charriere,1,26 of 49,0 of 0,---,0,0,0:03,26 of 49,53%,16 of 37,7 of 8,3 of 4,25 of 47,1 of 1,0 of 1
UFC Fight Night: Gane vs. Spivac,Morgan Charriere vs. Manolo Zecchini,Manolo Zecchini,0,9 of 41,0 of 0,---,0,0,0:00,9 of 41,21%,5 of 30,1 of 4,3 of 7,9 of 41,0 of 0,0 of 0
UFC Fight Night: Gane vs. Spivac,Taylor Lapilus vs. Caolan Loughran,Taylor Lapilus,0,87 of 166,0 of 0,---,0,0,0:18,84 of 163,51%,59 of 133,18 of 23,7 of 7,76 of 150,7 of 12,1 of 1
UFC Fight Night: Gane vs. Spivac,Taylor Lapilus vs. Caolan Loughran,Caolan Loughran,0,70 of 166,2 of 11,18%,0,0,6:26,48 of 132,36%,28 of 100,13 of 23,7 of 9,44 of 125,3 of 6,1 of 1
UFC Fight Night: Gane vs. Spivac,Ange Loosa vs. Rhys McKee,Ange Loosa,0,124 of 220,6 of 10,60%,0,0,6:07,98 of 182,53%,71 of 144,19 of 29,8 of 9,45 of 103,32 of 51,21 of 28
UFC Fight Night: Gane vs. Spivac,Ange Loosa vs. Rhys McKee,Rhys McKee,0,90 of 198,0 of 0,---,0,0,0:05,77 of 183,42%,48 of 145,19 of 25,10 of 13,70 of 172,5 of 8,2 of 3
UFC Fight Night: Gane vs. Spivac,Nora Cornolle vs. Joselyne Edwards,Nora Cornolle,0,85 of 134,0 of 0,---,0,3,2:11,40 of 77,51%,12 of 37,17 of 24,11 of 16,17 of 39,23 of 38,0 of 0
UFC Fight Night: Gane vs. Spivac,Nora Cornolle vs. Joselyne Edwards,Joselyne Edwards,0,75 of 120,5 of 8,62%,1,0,8:42,18 of 42,42%,6 of 20,8 of 9,4 of 13,14 of 35,4 of 6,0 of 1
UFC Fight Night: Gane vs. Spivac,Farid Basharat vs. Kleydson Rodrigues,Farid Basharat,0,25 of 36,2 of 5,40%,1,0,3:15,4 of 6,66%,2 of 3,2 of 2,0 of 1,0 of 1,1 of 1,3 of 4
UFC Fight Night: Gane vs. Spivac,Farid Basharat vs. Kleydson Rodrigues,Kleydson Rodrigues,0,25 of 26,0 of 0,---,0,0,0:30,7 of 8,87%,3 of 4,2 of 2,2 of 2,4 of 5,1 of 1,2 of 2
UFC Fight Night: Gane vs. Spivac,Zarah Fairn vs. Jacqueline Cavalcanti,Zarah Fairn,0,39 of 259,0 of 2,0%,0,0,0:04,39 of 259,15%,25 of 241,8 of 12,6 of 6,39 of 258,0 of 1,0 of 0
UFC Fight Night: Gane vs. Spivac,Zarah Fairn vs. Jacqueline Cavalcanti,Jacqueline Cavalcanti,0,127 of 222,0 of 1,0%,0,0,0:08,126 of 221,57%,43 of 127,20 of 22,63 of 72,116 of 209,10 of 12,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Max Holloway vs. Chan Sung Jung,Max Holloway,2,75 of 128,0 of 0,---,1,0,0:57,75 of 128,58%,34 of 77,31 of 35,10 of 16,71 of 124,1 of 1,3 of 3
UFC Fight Night: Holloway vs. The Korean Zombie,Max Holloway vs. Chan Sung Jung,Chan Sung Jung,0,35 of 126,0 of 1,0%,0,0,0:15,34 of 124,27%,25 of 110,6 of 8,3 of 6,34 of 122,0 of 2,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Anthony Smith vs. Ryan Spann,Anthony Smith,0,91 of 147,1 of 3,33%,0,0,0:56,91 of 147,61%,44 of 92,12 of 15,35 of 40,90 of 146,1 of 1,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Anthony Smith vs. Ryan Spann,Ryan Spann,0,62 of 191,0 of 1,0%,0,0,1:19,59 of 187,31%,39 of 158,14 of 23,6 of 6,50 of 174,0 of 0,9 of 13
UFC Fight Night: Holloway vs. The Korean Zombie,Giga Chikadze vs. Alex Caceres,Giga Chikadze,0,65 of 141,0 of 0,---,0,0,0:00,65 of 141,46%,25 of 83,22 of 38,18 of 20,65 of 139,0 of 2,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Giga Chikadze vs. Alex Caceres,Alex Caceres,0,62 of 168,0 of 0,---,0,0,0:00,62 of 168,36%,25 of 110,25 of 44,12 of 14,62 of 168,0 of 0,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Rinya Nakamura vs. Fernie Garcia,Rinya Nakamura,0,56 of 84,4 of 4,100%,3,0,9:26,36 of 57,63%,16 of 31,10 of 13,10 of 13,25 of 44,0 of 0,11 of 13
UFC Fight Night: Holloway vs. The Korean Zombie,Rinya Nakamura vs. Fernie Garcia,Fernie Garcia,0,50 of 106,0 of 0,---,1,0,0:00,15 of 66,22%,9 of 53,4 of 7,2 of 6,13 of 63,0 of 1,2 of 2
UFC Fight Night: Holloway vs. The Korean Zombie,Erin Blanchfield vs. Taila Santos,Erin Blanchfield,0,119 of 210,0 of 14,0%,0,0,8:08,61 of 128,47%,37 of 99,18 of 23,6 of 6,43 of 102,17 of 24,1 of 2
UFC Fight Night: Holloway vs. The Korean Zombie,Erin Blanchfield vs. Taila Santos,Taila Santos,0,96 of 202,0 of 3,0%,0,0,0:09,55 of 151,36%,28 of 118,9 of 15,18 of 18,46 of 133,9 of 18,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Junior Tafa vs. Parker Porter,Junior Tafa,1,11 of 16,0 of 0,---,0,0,0:04,8 of 13,61%,7 of 12,1 of 1,0 of 0,4 of 7,4 of 6,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Junior Tafa vs. Parker Porter,Parker Porter,0,3 of 10,0 of 1,0%,0,0,0:17,2 of 9,22%,2 of 9,0 of 0,0 of 0,2 of 9,0 of 0,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Waldo Cortes-Acosta vs. Lukasz Brzeski,Waldo Cortes-Acosta,1,16 of 46,0 of 0,---,0,0,0:00,15 of 45,33%,9 of 36,3 of 5,3 of 4,12 of 42,3 of 3,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Waldo Cortes-Acosta vs. Lukasz Brzeski,Lukasz Brzeski,0,15 of 23,0 of 0,---,0,0,0:00,14 of 22,63%,1 of 7,3 of 3,10 of 12,14 of 22,0 of 0,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Toshiomi Kazama vs. Garrett Armfield,Toshiomi Kazama,0,15 of 31,0 of 2,0%,0,0,0:00,15 of 31,48%,8 of 24,3 of 3,4 of 4,15 of 30,0 of 1,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Toshiomi Kazama vs. Garrett Armfield,Garrett Armfield,1,45 of 77,0 of 0,---,0,0,0:26,45 of 77,58%,36 of 67,9 of 10,0 of 0,40 of 68,0 of 0,5 of 9
UFC Fight Night: Holloway vs. The Korean Zombie,Chidi Njokuani vs. Michal Oleksiejczuk,Chidi Njokuani,0,30 of 58,0 of 2,0%,0,0,0:09,29 of 57,50%,7 of 21,18 of 32,4 of 4,19 of 37,10 of 20,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Chidi Njokuani vs. Michal Oleksiejczuk,Michal Oleksiejczuk,0,54 of 85,1 of 1,100%,0,0,1:36,44 of 72,61%,31 of 59,12 of 12,1 of 1,17 of 36,4 of 5,23 of 31
UFC Fight Night: Holloway vs. The Korean Zombie,Song Kenan vs. Rolando Bedoya,Song Kenan,1,85 of 161,0 of 0,---,0,0,0:40,75 of 149,50%,54 of 118,16 of 24,5 of 7,68 of 140,6 of 8,1 of 1
UFC Fight Night: Holloway vs. The Korean Zombie,Song Kenan vs. Rolando Bedoya,Rolando Bedoya,0,112 of 260,0 of 4,0%,0,0,0:33,112 of 258,43%,36 of 146,27 of 49,49 of 63,104 of 245,8 of 13,0 of 0
UFC Fight Night: Holloway vs. The Korean Zombie,Billy Goff vs. Yusaku Kinoshita,Billy Goff,1,43 of 89,0 of 1,0%,0,0,0:05,40 of 85,47%,13 of 47,13 of 20,14 of 18,36 of 78,2 of 2,2 of 5
UFC Fight Night: Holloway vs. The Korean Zombie,Billy Goff vs. Yusaku Kinoshita,Yusaku Kinoshita,0,17 of 53,0 of 0,---,0,0,0:00,17 of 53,32%,15 of 48,2 of 5,0 of 0,17 of 52,0 of 1,0 of 0
UFC 292: Sterling vs. O'Malley,Aljamain Sterling vs. Sean O'Malley,Aljamain Sterling,0,24 of 46,0 of 2,0%,0,0,0:34,17 of 35,48%,3 of 12,3 of 10,11 of 13,16 of 33,1 of 2,0 of 0
UFC 292: Sterling vs. O'Malley,Aljamain Sterling vs. Sean O'Malley,Sean O'Malley,1,26 of 36,0 of 0,---,0,0,0:18,25 of 35,71%,18 of 25,6 of 9,1 of 1,10 of 16,1 of 1,14 of 18
UFC 292: Sterling vs. O'Malley,Zhang Weili vs. Amanda Lemos,Zhang Weili,1,296 of 358,6 of 7,85%,0,0,16:07,163 of 217,75%,106 of 150,37 of 42,20 of 25,50 of 77,17 of 18,96 of 122
UFC 292: Sterling vs. O'Malley,Zhang Weili vs. Amanda Lemos,Amanda Lemos,0,29 of 68,0 of 0,---,2,0,0:34,24 of 63,38%,19 of 57,3 of 4,2 of 2,23 of 61,1 of 2,0 of 0
UFC 292: Sterling vs. O'Malley,Neil Magny vs. Ian Garry,Neil Magny,0,51 of 93,0 of 2,0%,0,0,1:10,27 of 66,40%,10 of 41,7 of 11,10 of 14,25 of 61,2 of 5,0 of 0
UFC 292: Sterling vs. O'Malley,Neil Magny vs. Ian Garry,Ian Garry,0,111 of 171,2 of 2,100%,0,0,2:32,91 of 150,60%,32 of 90,16 of 17,43 of 43,84 of 140,4 of 5,3 of 5
UFC 292: Sterling vs. O'Malley,Da'Mon Blackshear vs. Mario Bautista,Da'Mon Blackshear,0,108 of 192,4 of 7,57%,0,0,3:00,90 of 174,51%,48 of 123,22 of 30,20 of 21,52 of 129,37 of 42,1 of 3
UFC 292: Sterling vs. O'Malley,Da'Mon Blackshear vs. Mario Bautista,Mario Bautista,0,102 of 161,2 of 10,20%,1,0,4:04,79 of 137,57%,48 of 103,21 of 22,10 of 12,51 of 101,24 of 30,4 of 6
UFC 292: Sterling vs. O'Malley,Marlon Vera vs. Pedro Munhoz,Marlon Vera,0,141 of 251,0 of 1,0%,0,0,0:00,141 of 251,56%,109 of 212,9 of 14,23 of 25,138 of 246,3 of 4,0 of 1
UFC 292: Sterling vs. O'Malley,Marlon Vera vs. Pedro Munhoz,Pedro Munhoz,0,113 of 246,0 of 1,0%,0,0,0:00,113 of 246,45%,53 of 177,20 of 28,40 of 41,111 of 244,2 of 2,0 of 0
UFC 292: Sterling vs. O'Malley,Chris Weidman vs. Brad Tavares,Chris Weidman,0,39 of 94,0 of 8,0%,0,0,1:21,37 of 92,40%,30 of 77,5 of 12,2 of 3,35 of 90,2 of 2,0 of 0
UFC 292: Sterling vs. O'Malley,Chris Weidman vs. Brad Tavares,Brad Tavares,0,71 of 116,0 of 0,---,0,0,0:00,70 of 115,60%,21 of 61,8 of 9,41 of 45,68 of 113,2 of 2,0 of 0
UFC 292: Sterling vs. O'Malley,Gregory Rodrigues vs. Denis Tiuliulin,Gregory Rodrigues,0,6 of 8,1 of 2,50%,0,0,0:47,5 of 6,83%,4 of 5,1 of 1,0 of 0,1 of 2,0 of 0,4 of 4
UFC 292: Sterling vs. O'Malley,Gregory Rodrigues vs. Denis Tiuliulin,Denis Tiuliulin,0,3 of 8,0 of 0,---,0,0,0:00,2 of 7,28%,2 of 7,0 of 0,0 of 0,2 of 7,0 of 0,0 of 0
UFC 292: Sterling vs. O'Malley,Kurt Holobaugh vs. Austin Hubbard,Kurt Holobaugh,0,85 of 144,0 of 0,---,2,0,1:08,61 of 119,51%,46 of 101,10 of 12,5 of 6,50 of 106,9 of 10,2 of 3
UFC 292: Sterling vs. O'Malley,Kurt Holobaugh vs. Austin Hubbard,Austin Hubbard,0,61 of 125,2 of 6,33%,0,0,2:23,44 of 107,41%,25 of 86,17 of 19,2 of 2,31 of 87,9 of 12,4 of 8
UFC 292: Sterling vs. O'Malley,Brad Katona vs. Cody Gibson,Brad Katona,0,173 of 327,0 of 2,0%,0,0,0:00,160 of 311,51%,116 of 254,25 of 37,19 of 20,127 of 262,33 of 49,0 of 0
UFC 292: Sterling vs. O'Malley,Brad Katona vs. Cody Gibson,Cody Gibson,0,169 of 273,0 of 1,0%,0,0,0:00,164 of 268,61%,130 of 228,22 of 27,12 of 13,134 of 233,30 of 35,0 of 0
UFC 292: Sterling vs. O'Malley,Andre Petroski vs. Gerald Meerschaert,Andre Petroski,1,67 of 143,2 of 5,40%,0,0,2:06,57 of 132,43%,39 of 114,12 of 12,6 of 6,46 of 117,3 of 4,8 of 11
UFC 292: Sterling vs. O'Malley,Andre Petroski vs. Gerald Meerschaert,Gerald Meerschaert,0,92 of 166,1 of 3,33%,0,0,1:54,76 of 149,51%,65 of 135,6 of 9,5 of 5,60 of 131,10 of 10,6 of 8
UFC 292: Sterling vs. O'Malley,Andrea Lee vs. Natalia Silva,Andrea Lee,0,43 of 125,0 of 0,---,0,0,0:00,43 of 125,34%,12 of 74,11 of 23,20 of 28,43 of 125,0 of 0,0 of 0
