Event,Fight,Fighter,Round,KD,TotStr,TD,TdPct,SubAtt,Rev,CtrlTime,SigStr,SigStrPct,Head,Body,Leg,Distance,Clinch,Ground
UFC 293: Adesanya vs. Strickland,Carlos Ulberg vs. Da Woon Jung,Carlos Ulberg,3,0,46 of 72,1 of 2,50%,1,0,1:38,38 of 63,60%,22 of 46,10 of 11,6 of 6,18 of 40,7 of 7,13 of 16
UFC 293: Adesanya vs. Strickland,Carlos Ulberg vs. Da Woon Jung,Da Woon Jung,1,0,17 of 30,0 of 0,---,0,0,0:00,17 of 30,56%,0 of 5,3 of 4,14 of 21,17 of 29,0 of 1,0 of 0
UFC 293: Adesanya vs. Strickland,Carlos Ulberg vs. Da Woon Jung,Da Woon Jung,2,0,23 of 44,0 of 0,---,0,0,0:00,23 of 44,52%,4 of 18,4 of 9,15 of 17,23 of 44,0 of 0,0 of 0
UFC 293: Adesanya vs. Strickland,Carlos Ulberg vs. Da Woon Jung,Da Woon Jung,3,0,20 of 49,1 of 2,50%,0,0,0:15,18 of 46,39%,10 of 36,5 of 7,3 of 3,15 of 42,3 of 4,0 of 0
UFC 293: Adesanya vs. Strickland,Jack Jenkins vs. Chepe Mariscal,Jack Jenkins,1,0,33 of 52,0 of 0,---,0,0,0:00,31 of 50,62%,14 of 27,7 of 11,10 of 12,29 of 47,2 of 3,0 of 0
UFC 293: Adesanya vs. Strickland,Jack Jenkins vs. Chepe Mariscal,Jack Jenkins,2,0,10 of 18,0 of 1,0%,0,0,0:07,10 of 18,55%,2 of 9,6 of 7,2 of 2,6 of 13,4 of 5,0 of 0
UFC 293: Adesanya vs. Strickland,Jack Jenkins vs. Chepe Mariscal,Chepe Mariscal,1,0,38 of 78,0 of 0,---,0,0,0:27,23 of 60,38%,10 of 41,8 of 11,5 of 8,18 of 52,5 of 8,0 of 0
UFC 293: Adesanya vs. Strickland,Jack Jenkins vs. Chepe Mariscal,Chepe Mariscal,2,0,49 of 65,1 of 1,100%,0,0,2:19,15 of 27,55%,4 of 12,3 of 5,8 of 10,5 of 13,9 of 13,1 of 1
UFC 293: Adesanya vs. Strickland,Jamie Mullarkey vs. John Makdessi,Jamie Mullarkey,1,0,22 of 45,0 of 0,---,0,0,0:00,22 of 45,48%,5 of 24,4 of 8,13 of 13,22 of 45,0 of 0,0 of 0
UFC 293: Adesanya vs. Strickland,Jamie Mullarkey vs. John Makdessi,Jamie Mullarkey,2,0,37 of 62,0 of 1,0%,0,0,0:00,37 of 62,59%,17 of 40,8 of 10,12 of 12,37 of 62,0 of 0,0 of 0
UFC 293: Adesanya vs. Strickland,Jamie Mullarkey vs. John Makdessi,Jamie Mullarkey,3,0,29 of 72,0 of 1,0%,0,0,0:00,29 of 72,40%,16 of 56,1 of 2,12 of 14,29 of 72,0 of 0,0 of 0
UFC 293: Adesanya vs. Strickland,Jamie Mullarkey vs. John Makdessi,John Makdessi,1,0,24 of 51,0 of 0,---,0,0,0:00,24 of 51,47%,6 of 27,10 of 16,8 of 8,24 of 51,0 of 0,0 of 0
UFC 293: Adesanya vs. Strickland,Jamie Mullarkey vs. John Makdessi,John Makdessi,2,0,21 of 61,0 of 0,---,0,0,0:00,21 of 61,34%,11 of 40,5 of 16,5 of 5,21 of 61,0 of 0,0 of 0
UFC 293: Adesanya vs. Strickland,Jamie Mullarkey vs. John Makdessi,John Makdessi,3,0,40 of 78,0 of 1,0%,0,0,0:00,38 of 76,50%,20 of 52,7 of 13,11 of 11,38 of 76,0 of 0,0 of 0
UFC 293: Adesanya vs. Strickland,Nasrat Haqparast vs. Landon Quinones,Nasrat Haqparast,1,0,43 of 98,0 of 0,---,0,0,0:09,43 of 98,43%,26 of 77,17 of 21,0 of 0,42 of 97,1 of 1,0 of 0
UFC 293: Adesanya vs. Strickland,Nasrat Haqparast vs. Landon Quinones,Nasrat Haqparast,2,0,60 of 136,0 of 2,0%,0,0,0:11,59 of 135,43%,42 of 111,17 of 24,0 of 0,51 of 121,8 of 14,0 of 0
UFC 293: Adesanya vs. Strickland,Nasrat Haqparast vs. Landon Quinones,Nasrat Haqparast,3,0,69 of 144,0 of 3,0%,0,0,0:01,69 of 144,47%,46 of 116,23 of 28,0 of 0,68 of 143,1 of 1,0 of 0
UFC 293: Adesanya vs. Strickland,Nasrat Haqparast vs. Landon Quinones,Landon Quinones,1,0,47 of 106,0 of 0,---,0,0,0:11,44 of 103,42%,14 of 68,13 of 16,17 of 19,43 of 102,1 of 1,0 of 0
UFC 293: Adesanya vs. Strickland,Nasrat Haqparast vs. Landon Quinones,Landon Quinones,2,0,55 of 117,0 of 0,---,0,0,0:30,54 of 115,46%,31 of 87,13 of 17,10 of 11,45 of 103,9 of 12,0 of 0
UFC 293: Adesanya vs. Strickland,Nasrat Haqparast vs. Landon Quinones,Landon Quinones,3,0,50 of 136,0 of 0,---,0,0,0:00,50 of 136,36%,34 of 118,11 of 13,5 of 5,49 of 135,1 of 1,0 of 0
UFC 293: Adesanya vs. Strickland,Blood Diamond vs. Charles Radtke,Blood Diamond,1,0,9 of 19,0 of 1,0%,0,0,0:00,4 of 13,30%,2 of 11,2 of 2,0 of 0,2 of 10,2 of 3,0 of 0
UFC 293: Adesanya vs. Strickland,Blood Diamond vs. Charles Radtke,Blood Diamond,2,0,24 of 48,0 of 1,0%,0,0,0:07,13 of 34,38%,2 of 17,8 of 12,3 of 5,6 of 22,7 of 12,0 of 0
UFC 293: Adesanya vs. Strickland,Blood Diamond vs. Charles Radtke,Blood Diamond,3,0,42 of 69,0 of 1,0%,0,0,0:14,27 of 47,57%,15 of 30,9 of 14,3 of 3,11 of 26,16 of 21,0 of 0
UFC 293: Adesanya vs. Strickland,Blood Diamond vs. Charles Radtke,Charles Radtke,1,0,18 of 28,1 of 2,50%,0,0,3:55,4 of 11,36%,4 of 11,0 of 0,0 of 0,3 of 8,1 of 3,0 of 0
UFC 293: Adesanya vs. Strickland,Blood Diamond vs. Charles Radtke,Charles Radtke,2,0,25 of 46,0 of 1,0%,0,0,2:43,20 of 39,51%,18 of 37,2 of 2,0 of 0,17 of 31,3 of 8,0 of 0
UFC 293: Adesanya vs. Strickland,Blood Diamond vs. Charles Radtke,Charles Radtke,3,0,20 of 38,0 of 3,0%,0,0,3:03,11 of 26,42%,9 of 24,2 of 2,0 of 0,7 of 20,4 of 6,0 of 0
UFC 293: Adesanya vs. Strickland,Shane Young vs. Gabriel Miranda,Shane Young,1,0,1 of 4,0 of 0,---,0,0,0:00,1 of 4,25%,0 of 2,1 of 2,0 of 0,1 of 4,0 of 0,0 of 0
UFC 293: Adesanya vs. Strickland,Shane Young vs. Gabriel Miranda,Gabriel Miranda,1,0,2 of 6,1 of 2,50%,1,0,0:32,2 of 6,33%,0 of 2,1 of 2,1 of 2,2 of 6,0 of 0,0 of 0
UFC Fight Night: Gane vs. Spivac,Ciryl Gane vs. Serghei Spivac,Ciryl Gane,1,0,52 of 70,0 of 0,---,0,0,0:09,51 of 69,73%,19 of 32,19 of 24,13 of 13,50 of 68,1 of 1,0 of 0
UFC Fight Night: Gane vs. Spivac,Ciryl Gane vs. Serghei Spivac,Ciryl Gane,2,0,58 of 87,0 of 0,---,0,0,0:00,58 of 87,66%,29 of 53,20 of 25,9 of 9,55 of 84,3 of 3,0 of 0
UFC Fight Night: Gane vs. Spivac,Ciryl Gane vs. Serghei Spivac,Serghei Spivac,1,0,7 of 26,0 of 1,0%,0,0,0:02,7 of 26,26%,5 of 23,1 of 1,1 of 2,7 of 26,0 of 0,0 of 0
UFC Fight Night: Gane vs. Spivac,Ciryl Gane vs. Serghei Spivac,Serghei Spivac,2,0,4 of 18,0 of 0,---,0,0,0:00,4 of 18,22%,2 of 15,1 of 2,1 of 1,4 of 18,0 of 0,0 of 0
UFC Fight Night: Gane vs. Spivac,Manon Fiorot vs. Rose Namajunas,Manon Fiorot,1,0,18 of 89,0 of 0,---,0,0,0:00,18 of 88,20%,14 of 82,2 of 4,2 of 2,18 of 88,0 of 0,0 of 0
UFC Fight Night: Gane vs. Spivac,Manon Fiorot vs. Rose Namajunas,Manon Fiorot,2,0,23 of 75,0 of 1,0%,0,0,0:24,19 of 69,27%,11 of 55,7 of 11,1 of 3,17 of 62,2 of 7,0 of 0
UFC Fight Night: Gane vs. Spivac,Manon Fiorot vs. Rose Namajunas,Manon Fiorot,3,0,21 of 68,0 of 0,---,0,0,0:00,21 of 68,30%,14 of 60,6 of 7,1 of 1,18 of 64,2 of 3,1 of 1
UFC Fight Night: Gane vs. Spivac,Manon Fiorot vs. Rose Namajunas,Rose Namajunas,1,0,23 of 57,0 of 2,0%,0,0,0:00,23 of 56,41%,11 of 37,4 of 8,8 of 11,23 of 56,0 of 0,0 of 0
UFC Fight Night: Gane vs. Spivac,Manon Fiorot vs. Rose Namajunas,Rose Namajunas,2,0,15 of 41,0 of 2,0%,0,0,0:12,15 of 40,37%,10 of 31,4 of 8,1 of 1,14 of 38,1 of 2,0 of 0
UFC Fight Night: Gane vs. Spivac,Manon Fiorot vs. Rose Namajunas,Rose Namajunas,3,0,22 of 54,0 of 2,0%,0,0,0:13,22 of 54,40%,11 of 39,7 of 10,4 of 5,22 of 54,0 of 0,0 of 0
UFC Fight Night: Gane vs. Spivac,Benoit Saint Denis vs. Thiago Moises,Benoit Saint Denis,1,0,57 of 95,1 of 3,33%,0,0,2:18,41 of 77,53%,18 of 49,15 of 19,8 of 9,30 of 50,2 of 6,9 of 21
