Event,Date,Location,Fight,Fighter_A,Fighter_B,Bout,Method,Round,Time,Format,Referee,Details,Winner,Winner_Name,Time_Seconds,Time_Minutes,Round_Format,Unique_Fight_ID
UFC Fight Night: Fiziev vs. Gamrot,"September 23, 2023","Las Vegas, Nevada, USA",Rafael Fiziev vs. Mateusz Gamrot,Rafael Fiziev,Mateusz Gamrot,Lightweight Bout,KO/TKO,2,2:03,5 Rnd (5-5-5-5-5),Herb Dean,to Leg Injury,B,Mateusz Gamrot,123,2.05,5.0,"UFC Fight Night: Fiziev vs. GamrotRafael Fiziev vs. Mateusz GamrotSeptember 23, 2023"
UFC Fight Night: Fiziev vs. Gamrot,"September 23, 2023","Las Vegas, Nevada, USA",Bryce Mitchell vs. Dan Ige,Bryce Mitchell,Dan Ige,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Junichiro Kamijo 27 - 30. David Lethaby 28 - 29. Jacob Montalvo 28 - 29.,A,Bryce Mitchell,300,5.0,3.0,"UFC Fight Night: Fiziev vs. GamrotBryce Mitchell vs. Dan IgeSeptember 23, 2023"
UFC Fight Night: Fiziev vs. Gamrot,"September 23, 2023","Las Vegas, Nevada, USA",Marina Rodriguez vs. Michelle Waterson-Gomez,Marina Rodriguez,Michelle Waterson-Gomez,Women's Strawweight Bout,KO/TKO,2,2:42,3 Rnd (5-5-5),Kerry Hatley,Punches to Head From Mount,A,Marina Rodriguez,162,2.7,3.0,"UFC Fight Night: Fiziev vs. GamrotMarina Rodriguez vs. Michelle Waterson-GomezSeptember 23, 2023"
UFC Fight Night: Fiziev vs. Gamrot,"September 23, 2023","Las Vegas, Nevada, USA",Bryan Battle vs. AJ Fletcher,Bryan Battle,AJ Fletcher,Welterweight Bout,Submission,2,4:32,3 Rnd (5-5-5),Dan Miragliotta,Rear Naked Choke,A,Bryan Battle,272,4.533333333333333,3.0,"UFC Fight Night: Fiziev vs. GamrotBryan Battle vs. AJ FletcherSeptember 23, 2023"
UFC Fight Night: Fiziev vs. Gamrot,"September 23, 2023","Las Vegas, Nevada, USA",Ricardo Ramos vs. Charles Jourdain,Ricardo Ramos,Charles Jourdain,Featherweight Bout,Submission,1,3:12,3 Rnd (5-5-5),Herb Dean,Guillotine Choke From Bottom Guard,B,Charles Jourdain,192,3.2,3.0,"UFC Fight Night: Fiziev vs. GamrotRicardo Ramos vs. Charles JourdainSeptember 23, 2023"
UFC Fight Night: Fiziev vs. Gamrot,"September 23, 2023","Las Vegas, Nevada, USA",Dan Argueta vs. Miles Johns,Dan Argueta,Miles Johns,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Junichiro Kamijo 27 - 30. Anthony Maness 27 - 30. Jacob Montalvo 28 - 29.,B,Miles Johns,300,5.0,3.0,"UFC Fight Night: Fiziev vs. GamrotDan Argueta vs. Miles JohnsSeptember 23, 2023"
UFC Fight Night: Fiziev vs. Gamrot,"September 23, 2023","Las Vegas, Nevada, USA",Tim Means vs. Andre Fialho,Tim Means,Andre Fialho,Welterweight Bout,KO/TKO,3,1:15,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head At Distance,A,Tim Means,75,1.25,3.0,"UFC Fight Night: Fiziev vs. GamrotTim Means vs. Andre FialhoSeptember 23, 2023"
UFC Fight Night: Fiziev vs. Gamrot,"September 23, 2023","Las Vegas, Nevada, USA",Jacob Malkoun vs. Cody Brundage,Jacob Malkoun,Cody Brundage,Middleweight Bout,DQ,1,4:15,3 Rnd (5-5-5),Mark Smith,Strike to back of head,B,Cody Brundage,255,4.25,3.0,"UFC Fight Night: Fiziev vs. GamrotJacob Malkoun vs. Cody BrundageSeptember 23, 2023"
UFC Fight Night: Fiziev vs. Gamrot,"September 23, 2023","Las Vegas, Nevada, USA",Mohammed Usman vs. Jake Collier,Mohammed Usman,Jake Collier,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Jacob Montalvo 27 - 30. David Lethaby 28 - 29. Tony Weeks 28 - 29.,A,Mohammed Usman,300,5.0,3.0,"UFC Fight Night: Fiziev vs. GamrotMohammed Usman vs. Jake CollierSeptember 23, 2023"
UFC Fight Night: Fiziev vs. Gamrot,"September 23, 2023","Las Vegas, Nevada, USA",Mizuki vs. Hannah Goldy,Mizuki,Hannah Goldy,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Adalaide Byrd 28 - 29. Junichiro Kamijo 28 - 29. David Lethaby 28 - 29.,A,Mizuki,300,5.0,3.0,"UFC Fight Night: Fiziev vs. GamrotMizuki vs. Hannah GoldySeptember 23, 2023"
UFC Fight Night: Fiziev vs. Gamrot,"September 23, 2023","Las Vegas, Nevada, USA",Tamires Vidal vs. Montserrat Rendon,Tamires Vidal,Montserrat Rendon,Women's Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Junichiro Kamijo 28 - 29. Chris Leben 29 - 28. Jacob Montalvo 28 - 29.,B,Montserrat Rendon,300,5.0,3.0,"UFC Fight Night: Fiziev vs. GamrotTamires Vidal vs. Montserrat RendonSeptember 23, 2023"
UFC Fight Night: Grasso vs. Shevchenko 2,"September 16, 2023","Las Vegas, Nevada, USA",Kevin Holland vs. Jack Della Maddalena,Kevin Holland,Jack Della Maddalena,Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,Eric Colon 28 - 29. Mike Bell 29 - 28. Sal D'amato 28 - 29.,B,Jack Della Maddalena,300,5.0,3.0,"UFC Fight Night: Grasso vs. Shevchenko 2Kevin Holland vs. Jack Della MaddalenaSeptember 16, 2023"
UFC Fight Night: Grasso vs. Shevchenko 2,"September 16, 2023","Las Vegas, Nevada, USA",Raul Rosas Jr. vs. Terrence Mitchell,Raul Rosas Jr.,Terrence Mitchell,Bantamweight Bout,KO/TKO,1,0:54,3 Rnd (5-5-5),Mark Smith,Punches to Head From Back Control,A,Raul Rosas Jr.,54,0.9,3.0,"UFC Fight Night: Grasso vs. Shevchenko 2Raul Rosas Jr. vs. Terrence MitchellSeptember 16, 2023"
UFC Fight Night: Grasso vs. Shevchenko 2,"September 16, 2023","Las Vegas, Nevada, USA",Daniel Zellhuber vs. Christos Giagos,Daniel Zellhuber,Christos Giagos,Lightweight Bout,Submission,2,3:26,3 Rnd (5-5-5),Jason Herzog,Anaconda Choke On Ground,A,Daniel Zellhuber,206,3.433333333333333,3.0,"UFC Fight Night: Grasso vs. Shevchenko 2Daniel Zellhuber vs. Christos GiagosSeptember 16, 2023"
UFC Fight Night: Grasso vs. Shevchenko 2,"September 16, 2023","Las Vegas, Nevada, USA",Fernando Padilla vs. Kyle Nelson,Fernando Padilla,Kyle Nelson,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 28 - 29. Adalaide Byrd 28 - 29. Sal D'amato 27 - 30.,B,Kyle Nelson,300,5.0,3.0,"UFC Fight Night: Grasso vs. Shevchenko 2Fernando Padilla vs. Kyle NelsonSeptember 16, 2023"
UFC Fight Night: Grasso vs. Shevchenko 2,"September 16, 2023","Las Vegas, Nevada, USA",Loopy Godinez vs. Elise Reed,Loopy Godinez,Elise Reed,Women's Strawweight Bout,Submission,2,3:38,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke,A,Loopy Godinez,218,3.6333333333333333,3.0,"UFC Fight Night: Grasso vs. Shevchenko 2Loopy Godinez vs. Elise ReedSeptember 16, 2023"
UFC Fight Night: Grasso vs. Shevchenko 2,"September 16, 2023","Las Vegas, Nevada, USA",Roman Kopylov vs. Josh Fremd,Roman Kopylov,Josh Fremd,Middleweight Bout,KO/TKO,2,4:44,3 Rnd (5-5-5),Mark Smith,Punch to Body At Distance,A,Roman Kopylov,284,4.733333333333333,3.0,"UFC Fight Night: Grasso vs. Shevchenko 2Roman Kopylov vs. Josh FremdSeptember 16, 2023"
UFC Fight Night: Grasso vs. Shevchenko 2,"September 16, 2023","Las Vegas, Nevada, USA",Tracy Cortez vs. Jasmine Jasudavicius,Tracy Cortez,Jasmine Jasudavicius,Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 27 - 30. Sal D'amato 27 - 30. Jacob Montalvo 28 - 29.,A,Tracy Cortez,300,5.0,3.0,"UFC Fight Night: Grasso vs. Shevchenko 2Tracy Cortez vs. Jasmine JasudaviciusSeptember 16, 2023"
UFC Fight Night: Grasso vs. Shevchenko 2,"September 16, 2023","Las Vegas, Nevada, USA",Alex Reyes vs. Charlie Campbell,Alex Reyes,Charlie Campbell,Lightweight Bout,KO/TKO,1,3:38,3 Rnd (5-5-5),Mark Smith,Punches to Head At Distance,B,Charlie Campbell,218,3.6333333333333333,3.0,"UFC Fight Night: Grasso vs. Shevchenko 2Alex Reyes vs. Charlie CampbellSeptember 16, 2023"
UFC Fight Night: Grasso vs. Shevchenko 2,"September 16, 2023","Las Vegas, Nevada, USA",Josefine Knutsson vs. Marnic Mann,Josefine Knutsson,Marnic Mann,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 24 - 30. Sal D'amato 25 - 30. Bryan Miner 27 - 30.,A,Josefine Knutsson,300,5.0,3.0,"UFC Fight Night: Grasso vs. Shevchenko 2Josefine Knutsson vs. Marnic MannSeptember 16, 2023"
UFC 293: Adesanya vs. Strickland,"September 09, 2023","Sydney, New South Wales, Australia",Israel Adesanya vs. Sean Strickland,Israel Adesanya,Sean Strickland,UFC Middleweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Eric Colon 46 - 49. David Lethaby 46 - 49. Clemens Werner 46 - 49.,B,Sean Strickland,300,5.0,5.0,"UFC 293: Adesanya vs. StricklandIsrael Adesanya vs. Sean StricklandSeptember 09, 2023"
UFC 293: Adesanya vs. Strickland,"September 09, 2023","Sydney, New South Wales, Australia",Tai Tuivasa vs. Alexander Volkov,Tai Tuivasa,Alexander Volkov,Heavyweight Bout,Submission,2,4:37,3 Rnd (5-5-5),Herb Dean,Ezekiel Choke From Mount,B,Alexander Volkov,277,4.616666666666666,3.0,"UFC 293: Adesanya vs. StricklandTai Tuivasa vs. Alexander VolkovSeptember 09, 2023"
UFC 293: Adesanya vs. Strickland,"September 09, 2023","Sydney, New South Wales, Australia",Manel Kape vs. Felipe dos Santos,Manel Kape,Felipe dos Santos,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Greg Kleynjans,Eric Colon 27 - 30. David Lethaby 28 - 29. Clemens Werner 28 - 29.,A,Manel Kape,300,5.0,3.0,"UFC 293: Adesanya vs. StricklandManel Kape vs. Felipe dos SantosSeptember 09, 2023"
UFC 293: Adesanya vs. Strickland,"September 09, 2023","Sydney, New South Wales, Australia",Justin Tafa vs. Austen Lane,Justin Tafa,Austen Lane,Heavyweight Bout,KO/TKO,1,1:22,3 Rnd (5-5-5),Jim Perdios,Punch to Head At Distance,A,Justin Tafa,82,1.3666666666666667,3.0,"UFC 293: Adesanya vs. StricklandJustin Tafa vs. Austen LaneSeptember 09, 2023"
UFC 293: Adesanya vs. Strickland,"September 09, 2023","Sydney, New South Wales, Australia",Tyson Pedro vs. Anton Turkalj,Tyson Pedro,Anton Turkalj,Light Heavyweight Bout,KO/TKO,1,2:12,3 Rnd (5-5-5),Marc Goddard,Punch to Head At Distance,A,Tyson Pedro,132,2.2,3.0,"UFC 293: Adesanya vs. StricklandTyson Pedro vs. Anton TurkaljSeptember 09, 2023"
UFC 293: Adesanya vs. Strickland,"September 09, 2023","Sydney, New South Wales, Australia",Carlos Ulberg vs. Da Woon Jung,Carlos Ulberg,Da Woon Jung,Light Heavyweight Bout,Submission,3,4:49,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke,A,Carlos Ulberg,289,4.816666666666666,3.0,"UFC 293: Adesanya vs. StricklandCarlos Ulberg vs. Da Woon JungSeptember 09, 2023"
UFC 293: Adesanya vs. Strickland,"September 09, 2023","Sydney, New South Wales, Australia",Jack Jenkins vs. Chepe Mariscal,Jack Jenkins,Chepe Mariscal,Featherweight Bout,KO/TKO,2,3:19,3 Rnd (5-5-5),Greg Kleynjans,to Arm Injury,B,Chepe Mariscal,199,3.316666666666667,3.0,"UFC 293: Adesanya vs. StricklandJack Jenkins vs. Chepe MariscalSeptember 09, 2023"
UFC 293: Adesanya vs. Strickland,"September 09, 2023","Sydney, New South Wales, Australia",Jamie Mullarkey vs. John Makdessi,Jamie Mullarkey,John Makdessi,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jim Perdios,Mark Christie 28 - 29. Eric Colon 28 - 29. David Lethaby 28 - 29.,A,Jamie Mullarkey,300,5.0,3.0,"UFC 293: Adesanya vs. StricklandJamie Mullarkey vs. John MakdessiSeptember 09, 2023"
UFC 293: Adesanya vs. Strickland,"September 09, 2023","Sydney, New South Wales, Australia",Nasrat Haqparast vs. Landon Quinones,Nasrat Haqparast,Landon Quinones,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Eric Colon 27 - 30. Evan Field 27 - 30. Clemens Werner 27 - 30.,A,Nasrat Haqparast,300,5.0,3.0,"UFC 293: Adesanya vs. StricklandNasrat Haqparast vs. Landon QuinonesSeptember 09, 2023"
UFC 293: Adesanya vs. Strickland,"September 09, 2023","Sydney, New South Wales, Australia",Blood Diamond vs. Charles Radtke,Blood Diamond,Charles Radtke,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Chris Aliendi 27 - 29. Mark Collett 27 - 29. David Lethaby 27 - 29.,B,Charles Radtke,300,5.0,3.0,"UFC 293: Adesanya vs. StricklandBlood Diamond vs. Charles RadtkeSeptember 09, 2023"
UFC 293: Adesanya vs. Strickland,"September 09, 2023","Sydney, New South Wales, Australia",Shane Young vs. Gabriel Miranda,Shane Young,Gabriel Miranda,Featherweight Bout,Submission,1,0:59,3 Rnd (5-5-5),Greg Kleynjans,Rear Naked Choke,B,Gabriel Miranda,59,0.9833333333333333,3.0,"UFC 293: Adesanya vs. StricklandShane Young vs. Gabriel MirandaSeptember 09, 2023"
UFC 293: Adesanya vs. Strickland,"September 09, 2023","Sydney, New South Wales, Australia",Kevin Jousset vs. Kiefer Crosbie,Kevin Jousset,Kiefer Crosbie,Welterweight Bout,Submission,1,4:49,3 Rnd (5-5-5),Jim Perdios,Rear Naked Choke,A,Kevin Jousset,289,4.816666666666666,3.0,"UFC 293: Adesanya vs. StricklandKevin Jousset vs. Kiefer CrosbieSeptember 09, 2023"
UFC Fight Night: Gane vs. Spivac,"September 02, 2023","Paris, Ile-de-France, France",Ciryl Gane vs. Serghei Spivac,Ciryl Gane,Serghei Spivac,Heavyweight Bout,KO/TKO,2,3:44,5 Rnd (5-5-5-5-5),Marc Goddard,Punches to Head At Distance,A,Ciryl Gane,224,3.7333333333333334,5.0,"UFC Fight Night: Gane vs. SpivacCiryl Gane vs. Serghei SpivacSeptember 02, 2023"
UFC Fight Night: Gane vs. Spivac,"September 02, 2023","Paris, Ile-de-France, France",Manon Fiorot vs. Rose Namajunas,Manon Fiorot,Rose Namajunas,Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Darryl Ransom 27 - 30. Sal D'amato 28 - 29. Anders Ohlsson 28 - 29.,A,Manon Fiorot,300,5.0,3.0,"UFC Fight Night: Gane vs. SpivacManon Fiorot vs. Rose NamajunasSeptember 02, 2023"
UFC Fight Night: Gane vs. Spivac,"September 02, 2023","Paris, Ile-de-France, France",Benoit Saint Denis vs. Thiago Moises,Benoit Saint Denis,Thiago Moises,Lightweight Bout,KO/TKO,2,4:44,3 Rnd (5-5-5),Lukasz Bosacki,Punches to Head On Ground,A,Benoit Saint Denis,284,4.733333333333333,3.0,"UFC Fight Night: Gane vs. SpivacBenoit Saint Denis vs. Thiago MoisesSeptember 02, 2023"
UFC Fight Night: Gane vs. Spivac,"September 02, 2023","Paris, Ile-de-France, France",Volkan Oezdemir vs. Bogdan Guskov,Volkan Oezdemir,Bogdan Guskov,Light Heavyweight Bout,Submission,1,3:46,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke,A,Volkan Oezdemir,226,3.7666666666666666,3.0,"UFC Fight Night: Gane vs. SpivacVolkan Oezdemir vs. Bogdan GuskovSeptember 02, 2023"
UFC Fight Night: Gane vs. Spivac,"September 02, 2023","Paris, Ile-de-France, France",William Gomis vs. Yanis Ghemmouri,William Gomis,Yanis Ghemmouri,Featherweight Bout,KO/TKO,3,2:20,3 Rnd (5-5-5),Loic Pora,Kick to Body At Distance,A,William Gomis,140,2.3333333333333335,3.0,"UFC Fight Night: Gane vs. SpivacWilliam Gomis vs. Yanis GhemmouriSeptember 02, 2023"
UFC Fight Night: Gane vs. Spivac,"September 02, 2023","Paris, Ile-de-France, France",Morgan Charriere vs. Manolo Zecchini,Morgan Charriere,Manolo Zecchini,Featherweight Bout,KO/TKO,1,3:51,3 Rnd (5-5-5),Rich Mitchell,Kicks to Body At Distance,A,Morgan Charriere,231,3.85,3.0,"UFC Fight Night: Gane vs. SpivacMorgan Charriere vs. Manolo ZecchiniSeptember 02, 2023"
UFC Fight Night: Gane vs. Spivac,"September 02, 2023","Paris, Ile-de-France, France",Taylor Lapilus vs. Caolan Loughran,Taylor Lapilus,Caolan Loughran,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Ben Cartlidge 28 - 29. Sal D'amato 28 - 29. Anders Ohlsson 28 - 29.,A,Taylor Lapilus,300,5.0,3.0,"UFC Fight Night: Gane vs. SpivacTaylor Lapilus vs. Caolan LoughranSeptember 02, 2023"
UFC Fight Night: Gane vs. Spivac,"September 02, 2023","Paris, Ile-de-France, France",Ange Loosa vs. Rhys McKee,Ange Loosa,Rhys McKee,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Loic Pora,Christophe Chapuis 27 - 30. David Lethaby 28 - 29. Darryl Ransom 28 - 29.,A,Ange Loosa,300,5.0,3.0,"UFC Fight Night: Gane vs. SpivacAnge Loosa vs. Rhys McKeeSeptember 02, 2023"
UFC Fight Night: Gane vs. Spivac,"September 02, 2023","Paris, Ile-de-France, France",Nora Cornolle vs. Joselyne Edwards,Nora Cornolle,Joselyne Edwards,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Ben Cartlidge 27 - 30. Damien Gluski 27 - 30. Clemens Werner 28 - 29.,A,Nora Cornolle,300,5.0,3.0,"UFC Fight Night: Gane vs. SpivacNora Cornolle vs. Joselyne EdwardsSeptember 02, 2023"
UFC Fight Night: Gane vs. Spivac,"September 02, 2023","Paris, Ile-de-France, France",Farid Basharat vs. Kleydson Rodrigues,Farid Basharat,Kleydson Rodrigues,Bantamweight Bout,Submission,1,4:15,3 Rnd (5-5-5),Loic Pora,Arm Triangle From Side Control,A,Farid Basharat,255,4.25,3.0,"UFC Fight Night: Gane vs. SpivacFarid Basharat vs. Kleydson RodriguesSeptember 02, 2023"
UFC Fight Night: Gane vs. Spivac,"September 02, 2023","Paris, Ile-de-France, France",Zarah Fairn vs. Jacqueline Cavalcanti,Zarah Fairn,Jacqueline Cavalcanti,Catch Weight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Damien Gluski 27 - 30. David Lethaby 27 - 30. Clemens Werner 27 - 30.,B,Jacqueline Cavalcanti,300,5.0,3.0,"UFC Fight Night: Gane vs. SpivacZarah Fairn vs. Jacqueline CavalcantiSeptember 02, 2023"
UFC Fight Night: Holloway vs. The Korean Zombie,"August 26, 2023","Kallang, Singapore",Max Holloway vs. Chan Sung Jung,Max Holloway,Chan Sung Jung,Featherweight Bout,KO/TKO,3,0:23,5 Rnd (5-5-5-5-5),Details:,Punch to Head At Distance,A,Max Holloway,23,0.38333333333333336,5.0,"UFC Fight Night: Holloway vs. The Korean ZombieMax Holloway vs. Chan Sung JungAugust 26, 2023"
UFC Fight Night: Holloway vs. The Korean Zombie,"August 26, 2023","Kallang, Singapore",Anthony Smith vs. Ryan Spann,Anthony Smith,Ryan Spann,Light Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mark Craig,Mark Collett 28 - 29. Vito Paolillo 29 - 28. Luke Hill 28 - 29.,A,Anthony Smith,300,5.0,3.0,"UFC Fight Night: Holloway vs. The Korean ZombieAnthony Smith vs. Ryan SpannAugust 26, 2023"
UFC Fight Night: Holloway vs. The Korean Zombie,"August 26, 2023","Kallang, Singapore",Giga Chikadze vs. Alex Caceres,Giga Chikadze,Alex Caceres,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Howie Booth 27 - 30. Ben Cartlidge 27 - 30. David Lethaby 27 - 30.,A,Giga Chikadze,300,5.0,3.0,"UFC Fight Night: Holloway vs. The Korean ZombieGiga Chikadze vs. Alex CaceresAugust 26, 2023"
UFC Fight Night: Holloway vs. The Korean Zombie,"August 26, 2023","Kallang, Singapore",Rinya Nakamura vs. Fernie Garcia,Rinya Nakamura,Fernie Garcia,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin Sataki,Mark Collett 26 - 30. Vito Paolillo 27 - 30. Clemens Werner 27 - 30.,A,Rinya Nakamura,300,5.0,3.0,"UFC Fight Night: Holloway vs. The Korean ZombieRinya Nakamura vs. Fernie GarciaAugust 26, 2023"
UFC Fight Night: Holloway vs. The Korean Zombie,"August 26, 2023","Kallang, Singapore",Erin Blanchfield vs. Taila Santos,Erin Blanchfield,Taila Santos,Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Thomas Fan,Howie Booth 28 - 29. Ben Cartlidge 28 - 29. Luke Hill 28 - 29.,A,Erin Blanchfield,300,5.0,3.0,"UFC Fight Night: Holloway vs. The Korean ZombieErin Blanchfield vs. Taila SantosAugust 26, 2023"
UFC Fight Night: Holloway vs. The Korean Zombie,"August 26, 2023","Kallang, Singapore",Junior Tafa vs. Parker Porter,Junior Tafa,Parker Porter,Heavyweight Bout,KO/TKO,1,1:24,3 Rnd (5-5-5),Marc Goddard,Punch to Head At Distance,A,Junior Tafa,84,1.4,3.0,"UFC Fight Night: Holloway vs. The Korean ZombieJunior Tafa vs. Parker PorterAugust 26, 2023"
UFC Fight Night: Holloway vs. The Korean Zombie,"August 26, 2023","Kallang, Singapore",Waldo Cortes-Acosta vs. Lukasz Brzeski,Waldo Cortes-Acosta,Lukasz Brzeski,Heavyweight Bout,KO/TKO,1,3:01,3 Rnd (5-5-5),Mark Craig,Punches to Head At Distance,A,Waldo Cortes-Acosta,181,3.0166666666666666,3.0,"UFC Fight Night: Holloway vs. The Korean ZombieWaldo Cortes-Acosta vs. Lukasz BrzeskiAugust 26, 2023"
UFC Fight Night: Holloway vs. The Korean Zombie,"August 26, 2023","Kallang, Singapore",Toshiomi Kazama vs. Garrett Armfield,Toshiomi Kazama,Garrett Armfield,Bantamweight Bout,KO/TKO,1,4:16,3 Rnd (5-5-5),Kevin Sataki,Punches to Head At Distance,B,Garrett Armfield,256,4.266666666666667,3.0,"UFC Fight Night: Holloway vs. The Korean ZombieToshiomi Kazama vs. Garrett ArmfieldAugust 26, 2023"
UFC Fight Night: Holloway vs. The Korean Zombie,"August 26, 2023","Kallang, Singapore",Chidi Njokuani vs. Michal Oleksiejczuk,Chidi Njokuani,Michal Oleksiejczuk,Middleweight Bout,KO/TKO,1,4:16,3 Rnd (5-5-5),Thomas Fan,Punches to Head On Ground,B,Michal Oleksiejczuk,256,4.266666666666667,3.0,"UFC Fight Night: Holloway vs. The Korean ZombieChidi Njokuani vs. Michal OleksiejczukAugust 26, 2023"
UFC Fight Night: Holloway vs. The Korean Zombie,"August 26, 2023","Kallang, Singapore",Song Kenan vs. Rolando Bedoya,Song Kenan,Rolando Bedoya,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge 28 - 29. Luke Hill 28 - 29. David Lethaby 28 - 29.,A,Song Kenan,300,5.0,3.0,"UFC Fight Night: Holloway vs. The Korean ZombieSong Kenan vs. Rolando BedoyaAugust 26, 2023"
UFC Fight Night: Holloway vs. The Korean Zombie,"August 26, 2023","Kallang, Singapore",Billy Goff vs. Yusaku Kinoshita,Billy Goff,Yusaku Kinoshita,Welterweight Bout,KO/TKO,1,3:49,3 Rnd (5-5-5),Mark Craig,Punch to Body At Distance,A,Billy Goff,229,3.816666666666667,3.0,"UFC Fight Night: Holloway vs. The Korean ZombieBilly Goff vs. Yusaku KinoshitaAugust 26, 2023"
UFC Fight Night: Holloway vs. The Korean Zombie,"August 26, 2023","Kallang, Singapore",Liang Na vs. JJ Aldrich,Liang Na,JJ Aldrich,Women's Flyweight Bout,KO/TKO,2,4:49,3 Rnd (5-5-5),Kevin Sataki,Elbows to Head From Back Control,B,JJ Aldrich,289,4.816666666666666,3.0,"UFC Fight Night: Holloway vs. The Korean ZombieLiang Na vs. JJ AldrichAugust 26, 2023"
UFC Fight Night: Holloway vs. The Korean Zombie,"August 26, 2023","Kallang, Singapore",SeungWoo Choi vs. Jarno Errens,SeungWoo Choi,Jarno Errens,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Thomas Fan,Ben Cartlidge 27 - 30. Mark Collett 28 - 29. Vito Paolillo 28 - 29.,A,SeungWoo Choi,300,5.0,3.0,"UFC Fight Night: Holloway vs. The Korean ZombieSeungWoo Choi vs. Jarno ErrensAugust 26, 2023"
UFC 292: Sterling vs. O'Malley,"August 19, 2023","Boston, Massachusetts, USA",Aljamain Sterling vs. Sean O'Malley,Aljamain Sterling,Sean O'Malley,UFC Bantamweight Title Bout,KO/TKO,2,0:51,5 Rnd (5-5-5-5-5),Marc Goddard,Punches to Head On Ground,B,Sean O'Malley,51,0.85,5.0,"UFC 292: Sterling vs. O'MalleyAljamain Sterling vs. Sean O'MalleyAugust 19, 2023"
UFC 292: Sterling vs. O'Malley,"August 19, 2023","Boston, Massachusetts, USA",Zhang Weili vs. Amanda Lemos,Zhang Weili,Amanda Lemos,UFC Women's Strawweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Kevin MacDonald,Sal D'amato 43 - 50. Chris Lee 44 - 50. Nick Mahmood 45 - 49.,A,Zhang Weili,300,5.0,5.0,"UFC 292: Sterling vs. O'MalleyZhang Weili vs. Amanda LemosAugust 19, 2023"
UFC 292: Sterling vs. O'Malley,"August 19, 2023","Boston, Massachusetts, USA",Neil Magny vs. Ian Garry,Neil Magny,Ian Garry,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Ben Cartlidge 26 - 30. Marcel Valera 26 - 30. David Ginsberg 24 - 30.,B,Ian Garry,300,5.0,3.0,"UFC 292: Sterling vs. O'MalleyNeil Magny vs. Ian GarryAugust 19, 2023"
UFC 292: Sterling vs. O'Malley,"August 19, 2023","Boston, Massachusetts, USA",Da'Mon Blackshear vs. Mario Bautista,Da'Mon Blackshear,Mario Bautista,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bryan Miner,Sal D'amato 28 - 29. Chris Lee 28 - 29. Steve Rita 27 - 30.,B,Mario Bautista,300,5.0,3.0,"UFC 292: Sterling vs. O'MalleyDa'Mon Blackshear vs. Mario BautistaAugust 19, 2023"
