Event,Date,Location,Fight,Fighter_A,Fighter_B,Bout,Method,Round,Time,Format,Referee,Details,Winner,Winner_Name,Event_Link
UFC 297: Strickland vs. Du Plessis,2024-01-20,"Toronto, Ontario, Canada",Sean Strickland vs. Dricus Du Plessis,Sean Strickland,Dricus Du Plessis,UFC Middleweight Title Bout,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Sal D'amato 48 - 47. Derek Cleary 47 - 48. Eric Colon 47 - 48.,B,Dricus Du Plessis,http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc
UFC 297: Strickland vs. Du Plessis,2024-01-20,"Toronto, Ontario, Canada",Charles Jourdain vs. Sean Woodson,Charles Jourdain,Sean Woodson,Featherweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Jerin Valel,Declan Woods 28 - 29. Patricia Vandermeer 29 - 28. Derek Cleary 28 - 29.,B,Sean Woodson,http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc
UFC 297: Strickland vs. Du Plessis,2024-01-20,"Toronto, Ontario, Canada",Malcolm Gordon vs. Jimmy Flick,Malcolm Gordon,Jimmy Flick,Flyweight Bout,Submission,2,1:17,3 Rnd (5-5-5),Todd Ronald Anderson,Arm Triangle From Half Guard,B,Jimmy Flick,http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc
UFC 297: Strickland vs. Du Plessis,2024-01-20,"Toronto, Ontario, Canada",Jasmine Jasudavicius vs. Priscila Cachoeira,Jasmine Jasudavicius,Priscila Cachoeira,Women's Bantamweight Bout,Submission,3,4:21,3 Rnd (5-5-5),Mathew  Rocca,Anaconda Choke On Ground,A,Jasmine Jasudavicius,http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc
UFC 297: Strickland vs. Du Plessis,2024-01-20,"Toronto, Ontario, Canada",Yohan Lainesse vs. Sam Patterson,Yohan Lainesse,Sam Patterson,Welterweight Bout,Submission,1,2:03,3 Rnd (5-5-5),Brian Beauchamp,Rear Naked Choke,B,Sam Patterson,http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc
UFC 297: Strickland vs. Du Plessis,2024-01-20,"Toronto, Ontario, Canada",Serhiy Sidey vs. Ramon Taveras,Serhiy Sidey,Ramon Taveras,Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Todd Ronald Anderson,Eric Colon 28 - 29. Derek Cleary 29 - 28. Saleem Haniff 28 - 29.,B,Ramon Taveras,http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc
UFC 297: Strickland vs. Du Plessis,2024-01-20,"Toronto, Ontario, Canada",Gillian Robertson vs. Polyana Viana,Gillian Robertson,Polyana Viana,Women's Strawweight Bout,KO/TKO,2,3:12,3 Rnd (5-5-5),Kevin MacDonald,Punches to Head From Back Control,A,Gillian Robertson,http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc
UFC 297: Strickland vs. Du Plessis,2024-01-20,"Toronto, Ontario, Canada",Brad Katona vs. Garrett Armfield,Brad Katona,Garrett Armfield,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,Eric Colon 28 - 29. Kyle Costello 28 - 29. Sal D'amato 28 - 29.,B,Garrett Armfield,http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc
UFC 297: Strickland vs. Du Plessis,2024-01-20,"Toronto, Ontario, Canada",Arnold Allen vs. Movsar Evloev,Arnold Allen,Movsar Evloev,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Eric Colon 28 - 29. Patricia Vandermeer 28 - 29. Saleem Haniff 28 - 29.,B,Movsar Evloev,http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc
UFC 297: Strickland vs. Du Plessis,2024-01-20,"Toronto, Ontario, Canada",Chris Curtis vs. Marc-Andre Barriault,Chris Curtis,Marc-Andre Barriault,Middleweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Todd Ronald Anderson,Declan Woods 27 - 30. Derek Cleary 29 - 28. Eric Colon 27 - 30.,A,Chris Curtis,http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc
UFC 297: Strickland vs. Du Plessis,2024-01-20,"Toronto, Ontario, Canada",Neil Magny vs. Mike Malott,Neil Magny,Mike Malott,Welterweight Bout,KO/TKO,3,4:45,3 Rnd (5-5-5),Kevin MacDonald,Punches to Head From Mount,A,Neil Magny,http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc
UFC 297: Strickland vs. Du Plessis,2024-01-20,"Toronto, Ontario, Canada",Raquel Pennington vs. Mayra Bueno Silva,Raquel Pennington,Mayra Bueno Silva,UFC Women's Bantamweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Jerin Valel,Eric Colon 46 - 49. Sal D'amato 46 - 49. Saleem Haniff 45 - 49.,A,Raquel Pennington,http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc
UFC Fight Night: Ankalaev vs. Walker 2,2024-01-13,"Las Vegas, Nevada, USA",Matthew Semelsberger vs. Preston Parsons,Matthew Semelsberger,Preston Parsons,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Mike Bell 27 - 30. Junichiro Kamijo 27 - 30. Ron McCarthy 27 - 30.,B,Preston Parsons,http://www.ufcstats.com/event-details/010986ee359fb863
UFC Fight Night: Ankalaev vs. Walker 2,2024-01-13,"Las Vegas, Nevada, USA",Joshua Van vs. Felipe Bunes,Joshua Van,Felipe Bunes,Flyweight Bout,KO/TKO,2,4:31,3 Rnd (5-5-5),Mark Smith,Punches to Head From Guard,A,Joshua Van,http://www.ufcstats.com/event-details/010986ee359fb863
UFC Fight Night: Ankalaev vs. Walker 2,2024-01-13,"Las Vegas, Nevada, USA",Nikolas Motta vs. Tom Nolan,Nikolas Motta,Tom Nolan,Lightweight Bout,KO/TKO,1,1:03,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head On Ground,A,Nikolas Motta,http://www.ufcstats.com/event-details/010986ee359fb863
UFC Fight Night: Ankalaev vs. Walker 2,2024-01-13,"Las Vegas, Nevada, USA",Westin Wilson vs. Jean Silva,Westin Wilson,Jean Silva,Featherweight Bout,KO/TKO,1,4:12,3 Rnd (5-5-5),Marc Goddard,Punch to Head In Clinch,B,Jean Silva,http://www.ufcstats.com/event-details/010986ee359fb863
UFC Fight Night: Ankalaev vs. Walker 2,2024-01-13,"Las Vegas, Nevada, USA",Farid Basharat vs. Taylor Lapilus,Farid Basharat,Taylor Lapilus,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 27 - 30. Sal D'amato 27 - 30. Junichiro Kamijo 27 - 30.,A,Farid Basharat,http://www.ufcstats.com/event-details/010986ee359fb863
UFC Fight Night: Ankalaev vs. Walker 2,2024-01-13,"Las Vegas, Nevada, USA",Marcus McGhee vs. Gaston Bolanos,Marcus McGhee,Gaston Bolanos,Bantamweight Bout,KO/TKO,2,3:29,3 Rnd (5-5-5),Mark Smith,Punches to Head At Distance,A,Marcus McGhee,http://www.ufcstats.com/event-details/010986ee359fb863
UFC Fight Night: Ankalaev vs. Walker 2,2024-01-13,"Las Vegas, Nevada, USA",Jim Miller vs. Gabriel Benitez,Jim Miller,Gabriel Benitez,Lightweight Bout,Submission,3,3:25,3 Rnd (5-5-5),Dan Miragliotta,Neck Crank From Back Control,A,Jim Miller,http://www.ufcstats.com/event-details/010986ee359fb863
UFC Fight Night: Ankalaev vs. Walker 2,2024-01-13,"Las Vegas, Nevada, USA",Andrei Arlovski vs. Waldo Cortes-Acosta,Andrei Arlovski,Waldo Cortes-Acosta,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Derek Cleary 28 - 29. Sal D'amato 28 - 29. Chris Lee 28 - 29.,B,Waldo Cortes-Acosta,http://www.ufcstats.com/event-details/010986ee359fb863
UFC Fight Night: Ankalaev vs. Walker 2,2024-01-13,"Las Vegas, Nevada, USA",Phil Hawes vs. Brunno Ferreira,Phil Hawes,Brunno Ferreira,Middleweight Bout,KO/TKO,1,4:55,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance,B,Brunno Ferreira,http://www.ufcstats.com/event-details/010986ee359fb863
UFC Fight Night: Ankalaev vs. Walker 2,2024-01-13,"Las Vegas, Nevada, USA",Ricky Simon vs. Mario Bautista,Ricky Simon,Mario Bautista,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Sal D'amato 27 - 30. Chris Lee 27 - 30. Derek Cleary 28 - 29.,B,Mario Bautista,http://www.ufcstats.com/event-details/010986ee359fb863
UFC Fight Night: Ankalaev vs. Walker 2,2024-01-13,"Las Vegas, Nevada, USA",Magomed Ankalaev vs. Johnny Walker,Magomed Ankalaev,Johnny Walker,Light Heavyweight Bout,KO/TKO,2,2:42,5 Rnd (5-5-5-5-5),Marc Goddard,Punch to Head At Distance,A,Magomed Ankalaev,http://www.ufcstats.com/event-details/010986ee359fb863
UFC 296: Edwards vs. Covington,2023-12-16,"Las Vegas, Nevada, USA",Alonzo Menifield vs. Dustin Jacoby,Alonzo Menifield,Dustin Jacoby,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Sal D'amato 28 - 29. Chris Lee 28 - 29. Tony Weeks 28 - 29.,A,Alonzo Menifield,http://www.ufcstats.com/event-details/a8e8587a06e73c87
UFC 296: Edwards vs. Covington,2023-12-16,"Las Vegas, Nevada, USA",Leon Edwards vs. Colby Covington,Leon Edwards,Colby Covington,UFC Welterweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Derek Cleary 46 - 49. Sal D'amato 46 - 49. Chris Lee 46 - 49.,A,Leon Edwards,http://www.ufcstats.com/event-details/a8e8587a06e73c87
UFC 296: Edwards vs. Covington,2023-12-16,"Las Vegas, Nevada, USA",Alexandre Pantoja vs. Brandon Royval,Alexandre Pantoja,Brandon Royval,UFC Flyweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Junichiro Kamijo 45 - 50. Ron McCarthy 45 - 50. Eric Colon 46 - 49.,A,Alexandre Pantoja,http://www.ufcstats.com/event-details/a8e8587a06e73c87
UFC 296: Edwards vs. Covington,2023-12-16,"Las Vegas, Nevada, USA",Shavkat Rakhmonov vs. Stephen Thompson,Shavkat Rakhmonov,Stephen Thompson,Welterweight Bout,Submission,2,4:56,3 Rnd (5-5-5),Jason Herzog,Rear Naked Choke,A,Shavkat Rakhmonov,http://www.ufcstats.com/event-details/a8e8587a06e73c87
UFC 296: Edwards vs. Covington,2023-12-16,"Las Vegas, Nevada, USA",Tony Ferguson vs. Paddy Pimblett,Tony Ferguson,Paddy Pimblett,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Derek Cleary 27 - 30. Sal D'amato 27 - 30. Junichiro Kamijo 27 - 30.,B,Paddy Pimblett,http://www.ufcstats.com/event-details/a8e8587a06e73c87
UFC 296: Edwards vs. Covington,2023-12-16,"Las Vegas, Nevada, USA",Josh Emmett vs. Bryce Mitchell,Josh Emmett,Bryce Mitchell,Featherweight Bout,KO/TKO,1,1:57,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,A,Josh Emmett,http://www.ufcstats.com/event-details/a8e8587a06e73c87
UFC 296: Edwards vs. Covington,2023-12-16,"Las Vegas, Nevada, USA",Irene Aldana vs. Karol Rosa,Irene Aldana,Karol Rosa,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Derek Cleary 28 - 29. Ron McCarthy 28 - 29. Jacob Montalvo 28 - 29.,A,Irene Aldana,http://www.ufcstats.com/event-details/a8e8587a06e73c87
UFC 296: Edwards vs. Covington,2023-12-16,"Las Vegas, Nevada, USA",Casey O'Neill vs. Ariane Lipski,Casey O'Neill,Ariane Lipski,Women's Flyweight Bout,Submission,2,1:18,3 Rnd (5-5-5),Mark Smith,Armbar On Ground,B,Ariane Lipski,http://www.ufcstats.com/event-details/a8e8587a06e73c87
UFC 296: Edwards vs. Covington,2023-12-16,"Las Vegas, Nevada, USA",Tagir Ulanbekov vs. Cody Durden,Tagir Ulanbekov,Cody Durden,Flyweight Bout,Submission,2,4:25,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke,A,Tagir Ulanbekov,http://www.ufcstats.com/event-details/a8e8587a06e73c87
UFC 296: Edwards vs. Covington,2023-12-16,"Las Vegas, Nevada, USA",Andre Fili vs. Lucas Almeida,Andre Fili,Lucas Almeida,Featherweight Bout,KO/TKO,1,3:32,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance,A,Andre Fili,http://www.ufcstats.com/event-details/a8e8587a06e73c87
UFC 296: Edwards vs. Covington,2023-12-16,"Las Vegas, Nevada, USA",Martin Buday vs. Shamil Gaziev,Martin Buday,Shamil Gaziev,Heavyweight Bout,KO/TKO,2,0:56,3 Rnd (5-5-5),Mark Smith,Punches to Head At Distance,B,Shamil Gaziev,http://www.ufcstats.com/event-details/a8e8587a06e73c87
UFC 296: Edwards vs. Covington,2023-12-16,"Las Vegas, Nevada, USA",Cody Garbrandt vs. Brian Kelleher,Cody Garbrandt,Brian Kelleher,Bantamweight Bout,KO/TKO,1,3:42,3 Rnd (5-5-5),Marc Goddard,Punch to Head At Distance,A,Cody Garbrandt,http://www.ufcstats.com/event-details/a8e8587a06e73c87
UFC Fight Night: Song vs. Gutierrez,2023-12-09,"Las Vegas, Nevada, USA",Luana Santos vs. Stephanie Egger,Luana Santos,Stephanie Egger,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Jacob Montalvo 27 - 30. Junichiro Kamijo 28 - 29. Tony Weeks 28 - 29.,A,Luana Santos,http://www.ufcstats.com/event-details/5ef0088c1b19beeb
UFC Fight Night: Song vs. Gutierrez,2023-12-09,"Las Vegas, Nevada, USA",HyunSung Park vs. Shannon Ross,HyunSung Park,Shannon Ross,Flyweight Bout,KO/TKO,2,3:59,3 Rnd (5-5-5),Keith Peterson,Punch to Body At Distance,A,HyunSung Park,http://www.ufcstats.com/event-details/5ef0088c1b19beeb
UFC Fight Night: Song vs. Gutierrez,2023-12-09,"Las Vegas, Nevada, USA",Rayanne Amanda vs. Talita Alencar,Rayanne Amanda,Talita Alencar,Women's Strawweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Keith Peterson,Adalaide Byrd 28 - 29. Sal D'amato 29 - 28. Ron McCarthy 28 - 29.,B,Talita Alencar,http://www.ufcstats.com/event-details/5ef0088c1b19beeb
UFC Fight Night: Song vs. Gutierrez,2023-12-09,"Las Vegas, Nevada, USA",Tatsuro Taira vs. Carlos Hernandez,Tatsuro Taira,Carlos Hernandez,Flyweight Bout,KO/TKO,2,0:55,3 Rnd (5-5-5),Mark Smith,Punches to Head On Ground,A,Tatsuro Taira,http://www.ufcstats.com/event-details/5ef0088c1b19beeb
UFC Fight Night: Song vs. Gutierrez,2023-12-09,"Las Vegas, Nevada, USA",Steve Garcia vs. Melquizael Costa,Steve Garcia,Melquizael Costa,Lightweight Bout,KO/TKO,2,1:01,3 Rnd (5-5-5),Chris Tognoni,Elbows to Head From Mount,A,Steve Garcia,http://www.ufcstats.com/event-details/5ef0088c1b19beeb
UFC Fight Night: Song vs. Gutierrez,2023-12-09,"Las Vegas, Nevada, USA",Song Kenan vs. Kevin Jousset,Song Kenan,Kevin Jousset,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Sal D'amato 27 - 30. Chris Leben 27 - 30. Ron McCarthy 27 - 30.,B,Kevin Jousset,http://www.ufcstats.com/event-details/5ef0088c1b19beeb
UFC Fight Night: Song vs. Gutierrez,2023-12-09,"Las Vegas, Nevada, USA",JunYong Park vs. Andre Muniz,JunYong Park,Andre Muniz,Middleweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Chris Flores 28 - 29. Tony Weeks 29 - 28. Jacob Montalvo 28 - 29.,B,Andre Muniz,http://www.ufcstats.com/event-details/5ef0088c1b19beeb
UFC Fight Night: Song vs. Gutierrez,2023-12-09,"Las Vegas, Nevada, USA",Tim Elliott vs. Sumudaerji,Tim Elliott,Sumudaerji,Bantamweight Bout,Submission,1,4:02,3 Rnd (5-5-5),Herb Dean,Arm Triangle From Side Control,A,Tim Elliott,http://www.ufcstats.com/event-details/5ef0088c1b19beeb
UFC Fight Night: Song vs. Gutierrez,2023-12-09,"Las Vegas, Nevada, USA",Nasrat Haqparast vs. Jamie Mullarkey,Nasrat Haqparast,Jamie Mullarkey,Lightweight Bout,KO/TKO,1,1:44,3 Rnd (5-5-5),Keith Peterson,Punches to Head At Distance,A,Nasrat Haqparast,http://www.ufcstats.com/event-details/5ef0088c1b19beeb
UFC Fight Night: Song vs. Gutierrez,2023-12-09,"Las Vegas, Nevada, USA",Anthony Smith vs. Khalil Rountree Jr.,Anthony Smith,Khalil Rountree Jr.,Light Heavyweight Bout,KO/TKO,3,0:56,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance,B,Khalil Rountree Jr.,http://www.ufcstats.com/event-details/5ef0088c1b19beeb
UFC Fight Night: Song vs. Gutierrez,2023-12-09,"Las Vegas, Nevada, USA",Song Yadong vs. Chris Gutierrez,Song Yadong,Chris Gutierrez,Bantamweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Sal D'amato 44 - 50. Junichiro Kamijo 45 - 50. Ron McCarthy 45 - 50.,A,Song Yadong,http://www.ufcstats.com/event-details/5ef0088c1b19beeb
UFC Fight Night: Dariush vs. Tsarukyan,2023-12-02,"Austin, Texas, USA",Punahele Soriano vs. Dustin Stoltzfus,Punahele Soriano,Dustin Stoltzfus,Middleweight Bout,Submission,2,4:10,3 Rnd (5-5-5),Kerry Hatley,Rear Naked Choke,B,Dustin Stoltzfus,http://www.ufcstats.com/event-details/53e4e21f4c688801
UFC Fight Night: Dariush vs. Tsarukyan,2023-12-02,"Austin, Texas, USA",Wellington Turman vs. Jared Gooden,Wellington Turman,Jared Gooden,Welterweight Bout,Submission,2,1:11,3 Rnd (5-5-5),Jeff Rexroad,Rear Naked Choke,B,Jared Gooden,http://www.ufcstats.com/event-details/53e4e21f4c688801
UFC Fight Night: Dariush vs. Tsarukyan,2023-12-02,"Austin, Texas, USA",Rodolfo Bellato vs. Ihor Potieria,Rodolfo Bellato,Ihor Potieria,Light Heavyweight Bout,KO/TKO,2,4:17,3 Rnd (5-5-5),Jacob Montalvo,Punches to Head From Mount,A,Rodolfo Bellato,http://www.ufcstats.com/event-details/53e4e21f4c688801
UFC Fight Night: Dariush vs. Tsarukyan,2023-12-02,"Austin, Texas, USA",Drakkar Klose vs. Joe Solecki,Drakkar Klose,Joe Solecki,Lightweight Bout,KO/TKO,1,1:41,3 Rnd (5-5-5),Mark Smith,Slam to   On Ground,A,Drakkar Klose,http://www.ufcstats.com/event-details/53e4e21f4c688801
UFC Fight Night: Dariush vs. Tsarukyan,2023-12-02,"Austin, Texas, USA",Zach Reese vs. Cody Brundage,Zach Reese,Cody Brundage,Middleweight Bout,KO/TKO,1,1:49,3 Rnd (5-5-5),Jeff Rexroad,Slam to   On Ground,B,Cody Brundage,http://www.ufcstats.com/event-details/53e4e21f4c688801
UFC Fight Night: Dariush vs. Tsarukyan,2023-12-02,"Austin, Texas, USA",Miesha Tate vs. Julia Avila,Miesha Tate,Julia Avila,Women's Bantamweight Bout,Submission,3,1:15,3 Rnd (5-5-5),Jacob Montalvo,Rear Naked Choke,A,Miesha Tate,http://www.ufcstats.com/event-details/53e4e21f4c688801
UFC Fight Night: Dariush vs. Tsarukyan,2023-12-02,"Austin, Texas, USA",Veronica Hardy vs. Jamey-Lyn Horth,Veronica Hardy,Jamey-Lyn Horth,Women's Flyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mark Smith,Jacob Montalvo 29 - 28. Sal D'amato 28 - 29. Patrick Patlan 28 - 29.,A,Veronica Hardy,http://www.ufcstats.com/event-details/53e4e21f4c688801
UFC Fight Night: Dariush vs. Tsarukyan,2023-12-02,"Austin, Texas, USA",Clay Guida vs. Joaquim Silva,Clay Guida,Joaquim Silva,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Gino Garcia 28 - 29. Sal D'amato 28 - 29. Chris Lee 28 - 29.,B,Joaquim Silva,http://www.ufcstats.com/event-details/53e4e21f4c688801
UFC Fight Night: Dariush vs. Tsarukyan,2023-12-02,"Austin, Texas, USA",Sean Brady vs. Kelvin Gastelum,Sean Brady,Kelvin Gastelum,Welterweight Bout,Submission,3,1:43,3 Rnd (5-5-5),Jacob Montalvo,Kimura From Side Control,A,Sean Brady,http://www.ufcstats.com/event-details/53e4e21f4c688801
UFC Fight Night: Dariush vs. Tsarukyan,2023-12-02,"Austin, Texas, USA",Rob Font vs. Deiveson Figueiredo,Rob Font,Deiveson Figueiredo,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jeff Rexroad,Patrick Patlan 27 - 30. Mike Beltran 27 - 30. Gino Garcia 27 - 30.,B,Deiveson Figueiredo,http://www.ufcstats.com/event-details/53e4e21f4c688801
UFC Fight Night: Dariush vs. Tsarukyan,2023-12-02,"Austin, Texas, USA",Jalin Turner vs. Bobby Green,Jalin Turner,Bobby Green,Lightweight Bout,KO/TKO,1,2:49,3 Rnd (5-5-5),Kerry Hatley,Punches to Head On Ground,A,Jalin Turner,http://www.ufcstats.com/event-details/53e4e21f4c688801
UFC Fight Night: Dariush vs. Tsarukyan,2023-12-02,"Austin, Texas, USA",Beneil Dariush vs. Arman Tsarukyan,Beneil Dariush,Arman Tsarukyan,Lightweight Bout,KO/TKO,1,1:04,5 Rnd (5-5-5-5-5),Mark Smith,Punch to Head At Distance,B,Arman Tsarukyan,http://www.ufcstats.com/event-details/53e4e21f4c688801
UFC Fight Night: Allen vs. Craig,2023-11-18,"Las Vegas, Nevada, USA",Jonathan Pearce vs. Joanderson Brito,Jonathan Pearce,Joanderson Brito,Featherweight Bout,Submission,2,3:54,3 Rnd (5-5-5),Herb Dean,Guillotine Choke In Clinch,B,Joanderson Brito,http://www.ufcstats.com/event-details/3feed7d02711d8b7
UFC Fight Night: Allen vs. Craig,2023-11-18,"Las Vegas, Nevada, USA",Charles Johnson vs. Rafael Estevam,Charles Johnson,Rafael Estevam,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Derek Cleary 28 - 29. Sal D'amato 28 - 29. Chris Flores 28 - 29.,B,Rafael Estevam,http://www.ufcstats.com/event-details/3feed7d02711d8b7
UFC Fight Night: Allen vs. Craig,2023-11-18,"Las Vegas, Nevada, USA",Brendan Allen vs. Paul Craig,Brendan Allen,Paul Craig,Middleweight Bout,Submission,3,0:38,5 Rnd (5-5-5-5-5),Mark Smith,Rear Naked Choke,A,Brendan Allen,http://www.ufcstats.com/event-details/3feed7d02711d8b7
UFC Fight Night: Allen vs. Craig,2023-11-18,"Las Vegas, Nevada, USA",Luana Pinheiro vs. Amanda Ribas,Luana Pinheiro,Amanda Ribas,Women's Strawweight Bout,KO/TKO,3,3:53,3 Rnd (5-5-5),Chris Tognoni,Punches to Head At Distance,B,Amanda Ribas,http://www.ufcstats.com/event-details/3feed7d02711d8b7
UFC Fight Night: Allen vs. Craig,2023-11-18,"Las Vegas, Nevada, USA",Lucie Pudilova vs. Ailin Perez,Lucie Pudilova,Ailin Perez,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Derek Cleary 27 - 29. Sal D'amato 28 - 29. Chris Flores 28 - 29.,B,Ailin Perez,http://www.ufcstats.com/event-details/3feed7d02711d8b7
UFC Fight Night: Allen vs. Craig,2023-11-18,"Las Vegas, Nevada, USA",Jeka Saragih vs. Lucas Alexander,Jeka Saragih,Lucas Alexander,Featherweight Bout,KO/TKO,1,1:31,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,A,Jeka Saragih,http://www.ufcstats.com/event-details/3feed7d02711d8b7
UFC Fight Night: Allen vs. Craig,2023-11-18,"Las Vegas, Nevada, USA",Mick Parkin vs. Caio Machado,Mick Parkin,Caio Machado,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Adalaide Byrd 28 - 29. Derek Cleary 28 - 29. Chris Lee 28 - 29.,A,Mick Parkin,http://www.ufcstats.com/event-details/3feed7d02711d8b7
UFC Fight Night: Allen vs. Craig,2023-11-18,"Las Vegas, Nevada, USA",Chad Anheliger vs. Jose Johnson,Chad Anheliger,Jose Johnson,Bantamweight Bout,Submission,3,4:49,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke,B,Jose Johnson,http://www.ufcstats.com/event-details/3feed7d02711d8b7
UFC Fight Night: Allen vs. Craig,2023-11-18,"Las Vegas, Nevada, USA",Christian Leroy Duncan vs. Denis Tiuliulin,Christian Leroy Duncan,Denis Tiuliulin,Middleweight Bout,KO/TKO,2,4:24,3 Rnd (5-5-5),Mike Beltran,Punches to Head In Clinch,A,Christian Leroy Duncan,http://www.ufcstats.com/event-details/3feed7d02711d8b7
UFC Fight Night: Allen vs. Craig,2023-11-18,"Las Vegas, Nevada, USA",Uros Medic vs. Myktybek Orolbai,Uros Medic,Myktybek Orolbai,Welterweight Bout,Submission,2,4:12,3 Rnd (5-5-5),Mike Beltran,Neck Crank From Back Control,B,Myktybek Orolbai,http://www.ufcstats.com/event-details/3feed7d02711d8b7
UFC Fight Night: Allen vs. Craig,2023-11-18,"Las Vegas, Nevada, USA",Payton Talbott vs. Nick Aguirre,Payton Talbott,Nick Aguirre,Bantamweight Bout,Submission,3,0:58,3 Rnd (5-5-5),Mark Smith,Rear Naked Choke,A,Payton Talbott,http://www.ufcstats.com/event-details/3feed7d02711d8b7
UFC Fight Night: Allen vs. Craig,2023-11-18,"Las Vegas, Nevada, USA",Chase Hooper vs. Jordan Leavitt,Chase Hooper,Jordan Leavitt,Lightweight Bout,Submission,1,2:58,3 Rnd (5-5-5),Mike Beltran,Rear Naked Choke,A,Chase Hooper,http://www.ufcstats.com/event-details/3feed7d02711d8b7
UFC Fight Night: Allen vs. Craig,2023-11-18,"Las Vegas, Nevada, USA",Michael Morales vs. Jake Matthews,Michael Morales,Jake Matthews,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Chris Flores 27 - 30. Derek Cleary 28 - 29. Sal D'amato 28 - 29.,A,Michael Morales,http://www.ufcstats.com/event-details/3feed7d02711d8b7
UFC 295: Prochazka vs. Pereira,2023-11-11,"New York City, New York, USA",Dennis Buzukja vs. Jamall Emmers,Dennis Buzukja,Jamall Emmers,Featherweight Bout,KO/TKO,1,0:49,3 Rnd (5-5-5),Keith Peterson,Punch to Head At Distance,B,Jamall Emmers,http://www.ufcstats.com/event-details/5a558ba1ff5e9121
UFC 295: Prochazka vs. Pereira,2023-11-11,"New York City, New York, USA",Joshua Van vs. Kevin Borjas,Joshua Van,Kevin Borjas,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,Dave Tirelli 28 - 29. Bryan Miner 28 - 29. Chris Bolinski 28 - 29.,A,Joshua Van,http://www.ufcstats.com/event-details/5a558ba1ff5e9121
